,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,RCA,08/18/20,23.9,23.9,23.7,23.76,10816,-0.14,-0.59%
1,RCA,08/17/20,23.98,23.98,23.85,23.9,10836,0.09,0.38%
2,RCA,08/14/20,23.8,24.0,23.62,23.81,16300,0.02,0.08%
3,RCA,08/13/20,23.81,23.95,23.7,23.79,9347,-0.12,-0.52%
4,RCA,08/12/20,23.92,24.12,23.81,23.92,4340,-0.18,-0.77%
5,RCA,08/11/20,24.03,24.43,23.76,24.1,18058,0.26,1.08%
6,RCA,08/10/20,23.6,23.84,23.6,23.84,6200,0.24,1.03%
7,RCA,08/07/20,23.0,23.65,23.0,23.6,50900,0.6,2.61%
8,RCA,08/06/20,23.0,23.1,22.92,23.0,11817,-0.11,-0.48%
9,RCA,08/05/20,23.0,23.29,23.0,23.11,4122,0.21,0.92%
10,RCA,08/04/20,22.92,23.12,22.75,22.9,6302,-0.02,-0.11%
11,RCA,08/03/20,23.07,23.07,22.57,22.92,8397,-0.06,-0.24%
12,RCA,07/31/20,22.38,23.13,22.0,22.98,19000,-0.09,-0.39%
13,RCA,07/30/20,22.06,23.09,22.0,23.07,33344,0.73,3.27%
14,RCA,07/29/20,22.3,22.38,22.22,22.34,8989,-0.01,-0.04%
15,RCA,07/28/20,22.02,22.37,21.9,22.35,7066,0.22,0.99%
16,RCA,07/27/20,22.32,22.32,22.0,22.13,10469,0.13,0.59%
17,RCA,07/24/20,21.9,22.18,21.76,22.0,26700,0.21,0.97%
18,RCA,07/23/20,21.34,21.8,21.15,21.79,41355,0.79,3.76%
19,RCA,07/22/20,20.8,21.18,20.6,21.0,19830,-0.4,-1.87%
20,RCA,07/21/20,21.42,21.52,21.32,21.4,18610,0.11,0.52%
21,RCA,07/20/20,21.31,21.52,20.99,21.29,8412,0.69,3.35%
22,RCA,07/17/20,21.42,21.42,20.6,20.6,14400,-0.36,-1.71%
23,RCA,07/16/20,21.22,21.49,20.9,20.96,27888,0.1,0.47%
24,RCA,07/15/20,21.16,21.31,20.71,20.86,16083,0.21,1.02%
25,RCA,07/14/20,21.23,21.27,20.6,20.65,3299,-0.05,-0.24%
26,RCA,07/13/20,21.48,21.48,20.59,20.7,5203,0.01,0.05%
27,RCA,07/10/20,20.99,21.14,20.65,20.69,10900,-0.13,-0.63%
28,RCA,07/09/20,20.58,20.82,20.58,20.82,1100,0.03,0.15%
29,RCA,07/08/20,20.63,21.1,20.63,20.79,2844,0.34,1.67%
30,RCA,07/07/20,21.0,21.15,20.22,20.45,10452,-0.7,-3.31%
31,RCA,07/06/20,21.15,21.15,21.15,21.15,475,0.15,0.71%
32,RCA,07/02/20,21.05,21.05,21.0,21.0,2600,0.07,0.33%
33,RCA,07/01/20,20.85,21.59,20.85,20.93,5220,0.18,0.87%
34,RCA,06/30/20,21.36,21.36,20.21,20.75,2435,-0.2,-0.96%
35,RCA,06/29/20,21.22,21.22,20.78,20.95,1937,0.2,0.96%
36,RCA,06/26/20,20.75,20.75,20.75,20.75,1600,0.0,0.00%
37,RCA,06/25/20,20.79,20.8,20.36,20.75,4273,0.06,0.30%
38,RCA,06/24/20,20.79,20.79,20.69,20.69,2200,-0.56,-2.64%
39,RCA,06/23/20,21.43,21.57,20.07,21.25,8648,-0.32,-1.48%
40,RCA,06/22/20,21.8,21.89,21.57,21.57,328,-0.35,-1.60%
41,RCA,06/19/20,21.57,21.92,21.01,21.92,2400,0.45,2.10%
42,RCA,06/18/20,21.45,21.5,21.27,21.47,2301,0.3,1.43%
43,RCA,06/16/20,,21.17,21.17,21.17,0,1.17,5.83%
44,RCA,06/15/20,20.0,20.0,20.0,20.0,310,-0.19,-0.94%
45,RCA,06/12/20,20.63,20.7,20.19,20.19,3400,-0.17,-0.83%
46,RCA,06/11/20,19.82,20.7,19.76,20.36,8321,-0.17,-0.83%
47,RCA,06/10/20,20.54,21.0,20.51,20.53,6669,-0.47,-2.24%
48,RCA,06/09/20,21.4,21.44,20.35,21.0,10391,-0.51,-2.37%
49,RCA,06/08/20,20.89,21.94,20.89,21.51,32566,0.62,2.97%
50,RCA,06/05/20,21.0,21.14,20.6,20.89,9800,-0.01,-0.05%
51,RCA,06/04/20,20.8,21.56,20.4,20.9,19722,-0.39,-1.83%
52,RCA,06/03/20,20.67,21.29,20.38,21.29,7845,1.09,5.40%
53,RCA,06/02/20,18.83,20.86,18.8,20.2,25878,1.4,7.45%
54,RCA,06/01/20,17.58,19.04,17.51,18.8,12907,1.15,6.52%
55,RCA,05/29/20,17.2,17.67,17.0,17.65,76900,0.27,1.55%
56,RCA,05/28/20,17.4,17.4,17.05,17.38,19966,0.08,0.46%
57,RCA,05/27/20,17.43,17.45,16.96,17.3,16205,0.05,0.29%
58,RCA,05/26/20,17.0,17.49,16.76,17.25,19013,0.4,2.37%
59,RCA,05/22/20,16.55,16.9,16.55,16.85,27200,0.16,0.96%
60,RCA,05/21/20,16.72,16.81,16.3,16.69,16197,-0.21,-1.24%
61,RCA,05/20/20,16.7,17.1,16.65,16.9,184855,0.45,2.74%
62,RCA,05/19/20,16.5,17.0,16.3,16.45,21446,0.3,1.87%
63,RCA,05/18/20,16.48,16.8,16.06,16.15,111022,0.49,3.12%
64,RCA,05/15/20,15.5,16.48,15.3,15.66,14900,0.01,0.06%
65,RCA,05/14/20,15.02,16.25,15.02,15.65,37283,0.0,0.00%
66,RCA,05/13/20,16.44,16.45,14.53,15.65,10630,-1.09,-6.51%
67,RCA,05/12/20,16.42,17.04,15.8,16.74,7490,0.32,1.95%
68,RCA,05/11/20,17.7,18.01,16.07,16.42,112599,0.0,0.00%
69,RCA,05/08/20,16.35,16.45,16.35,16.42,1300,-0.78,-4.53%
70,RCA,05/07/20,16.1,17.25,16.1,17.2,9071,1.35,8.52%
71,RCA,05/06/20,15.87,16.08,15.84,15.85,4258,-1.13,-6.65%
72,RCA,05/05/20,16.98,16.98,16.98,16.98,236,-0.84,-4.74%
73,RCA,05/04/20,18.0,18.0,17.77,17.82,5440,-0.46,-2.50%
74,RCA,05/01/20,18.38,18.38,18.25,18.28,5000,-0.12,-0.64%
75,RCA,04/30/20,18.75,18.75,18.28,18.4,6152,-0.2,-1.08%
76,RCA,04/29/20,17.94,19.36,17.81,18.6,9712,1.1,6.29%
77,RCA,04/28/20,16.66,17.99,16.47,17.5,11716,0.96,5.80%
78,RCA,04/27/20,16.6,17.08,15.96,16.54,16058,0.45,2.80%
79,RCA,04/24/20,16.08,16.09,16.08,16.09,1500,-0.41,-2.48%
80,RCA,04/23/20,16.68,16.76,16.48,16.5,9618,-0.17,-1.02%
81,RCA,04/22/20,17.26,17.29,16.26,16.67,12599,-0.33,-1.93%
82,RCA,04/21/20,17.17,17.25,17.0,17.0,1018,-0.25,-1.46%
83,RCA,04/20/20,17.51,17.51,17.25,17.25,2638,-0.24,-1.37%
84,RCA,04/17/20,17.75,17.75,17.01,17.49,16000,-0.25,-1.41%
85,RCA,04/16/20,16.84,17.74,16.84,17.74,1502,1.24,7.52%
86,RCA,04/15/20,17.34,17.65,16.4,16.5,22620,-1.02,-5.83%
87,RCA,04/14/20,17.31,17.58,16.99,17.52,11027,0.71,4.24%
88,RCA,04/13/20,16.61,16.89,16.41,16.81,3859,0.75,4.67%
89,RCA,04/09/20,14.31,18.05,14.31,16.06,33000,2.57,19.05%
90,RCA,04/08/20,12.22,13.74,12.22,13.49,16282,1.79,15.30%
91,RCA,04/07/20,11.84,12.33,11.5,11.7,5900,0.6,5.41%
92,RCA,04/06/20,10.85,11.5,10.85,11.1,14360,0.85,8.29%
93,RCA,04/03/20,12.26,12.26,9.5,10.25,12800,-2.74,-21.09%
94,RCA,04/02/20,12.28,12.99,11.61,12.99,10237,-0.01,-0.08%
95,RCA,04/01/20,13.82,13.82,12.44,13.0,11752,-2.23,-14.64%
96,RCA,03/31/20,13.9,15.42,13.9,15.23,17153,1.13,7.99%
97,RCA,03/30/20,14.86,14.86,13.7,14.1,17177,-0.6,-4.05%
98,RCA,03/27/20,14.0,14.7,13.4,14.7,17600,1.0,7.30%
99,RCA,03/26/20,10.89,15.37,10.89,13.7,37038,3.7,36.98%
100,RCA,03/25/20,11.23,11.23,9.75,10.0,87812,-1.96,-16.39%
101,RCA,03/24/20,13.47,13.5,11.96,11.96,3001,-0.78,-6.12%
102,RCA,03/23/20,12.82,13.37,12.74,12.74,1828,-3.76,-22.79%
103,RCA,03/20/20,16.83,18.22,15.31,16.5,11100,-1.08,-6.14%
104,RCA,03/19/20,17.61,17.61,16.87,17.58,10828,2.9,19.75%
105,RCA,03/18/20,18.88,18.88,13.49,14.68,13115,-4.91,-25.06%
