,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,15.77,15.94,15.66,15.75,8.880975,11200
1,2015-08-21,15.52,15.85,15.25,15.4,8.683618,45400
2,2015-08-24,14.78,14.96,14.78,14.96,8.435514999999999,28300
3,2015-08-25,15.38,15.38,14.81,14.91,8.407324000000001,27000
4,2015-08-26,14.88,14.98,13.94,14.91,8.407324000000001,32800
5,2015-08-27,14.88,15.08,14.77,14.82,8.356573,50800
6,2015-08-28,14.8,14.88,14.73,14.73,8.305825,8600
7,2015-08-31,14.95,14.95,14.73,14.76,8.322741,7900
8,2015-09-01,14.76,14.89,14.6,14.64,8.255077,12000
9,2015-09-02,14.66,14.66,14.55,14.55,8.204329,12800
10,2015-09-03,14.48,14.63,14.25,14.53,8.193050999999999,9700
11,2015-09-04,14.5,14.6,14.32,14.6,8.232524,20100
12,2015-09-08,14.66,14.66,14.45,14.47,8.159219,9900
13,2015-09-09,14.5,14.5,14.28,14.31,8.068999,15600
14,2015-09-10,14.32,14.37,14.18,14.37,8.102833,14200
15,2015-09-11,14.34,14.49,14.24,14.49,8.170496,4200
16,2015-09-14,14.5,14.5,14.29,14.38,8.108474000000001,16600
17,2015-09-15,14.39,14.59,14.39,14.5,8.176136,9800
18,2015-09-16,14.54,14.6,14.49,14.55,8.204329,13500
19,2015-09-17,14.5,14.7,14.46,14.58,8.221246,10600
20,2015-09-18,14.55,15.0,14.55,14.7,8.288908000000001,28900
21,2015-09-21,14.71,14.72,14.62,14.69,8.28327,6700
22,2015-09-22,14.67,14.71,14.61,14.62,8.2438,10400
23,2015-09-23,14.66,14.71,14.49,14.62,8.2438,13000
24,2015-09-24,14.56,14.62,14.5,14.52,8.187414,9300
25,2015-09-25,14.47,14.57,14.41,14.53,8.193050999999999,16200
26,2015-09-28,14.23,14.23,13.08,13.42,7.781371000000001,70100
27,2015-09-29,13.54,13.57,13.25,13.28,7.7001919999999995,25400
28,2015-09-30,13.35,13.44,13.14,13.4,7.769774000000001,33000
29,2015-10-01,13.27,13.39,13.21,13.37,7.752378,20800
30,2015-10-02,13.38,13.42,13.13,13.26,7.688596,15800
31,2015-10-05,13.28,13.62,13.28,13.55,7.856747,21700
32,2015-10-06,13.55,13.65,13.53,13.56,7.862546000000001,15500
33,2015-10-07,13.58,14.0,13.58,13.96,8.094481,30800
34,2015-10-08,14.0,14.06,14.0,14.03,8.135066,2900
35,2015-10-09,14.34,14.34,14.03,14.19,8.227841,9000
36,2015-10-12,14.27,14.29,14.21,14.21,8.239438,8100
37,2015-10-13,14.17,14.17,14.12,14.16,8.210447,8000
38,2015-10-14,14.19,14.19,13.76,13.79,7.995906,52500
39,2015-10-15,13.88,14.08,13.8,14.02,8.129268,17500
40,2015-10-16,14.0,14.0,13.92,13.92,8.071287,15300
41,2015-10-19,14.0,14.06,13.96,13.96,8.094481,3300
42,2015-10-20,13.96,14.02,13.96,14.0,8.117672,5700
43,2015-10-21,14.0,14.0,13.88,13.9,8.05969,13400
44,2015-10-22,13.83,13.94,13.83,13.88,8.048093,36800
45,2015-10-23,13.97,13.97,13.88,13.88,8.048093,7400
46,2015-10-26,13.89,13.89,13.71,13.79,7.995906,17700
47,2015-10-27,13.74,13.82,13.5,13.55,7.856747,24500
48,2015-10-28,13.63,13.76,13.46,13.55,7.856747,37200
49,2015-10-29,13.52,13.55,13.24,13.24,7.677001,26300
50,2015-10-30,13.33,13.33,13.24,13.28,7.7001919999999995,22900
51,2015-11-02,13.29,13.42,13.24,13.42,7.781371000000001,28100
52,2015-11-03,13.41,13.41,13.28,13.35,7.74078,39200
53,2015-11-04,13.85,15.71,13.7,15.64,9.068601,195800
54,2015-11-05,15.56,15.56,15.35,15.4,8.929439,65400
55,2015-11-06,15.35,15.68,14.71,14.71,8.529355,119600
56,2015-11-09,14.75,14.97,14.71,14.85,8.610533,39500
