,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-05-04,292.5,360.0,270.0,270.149994,24.650188,6050800
1,2011-05-05,272.549988,280.950012,232.5,253.05000299999998,23.089878,1905900
2,2011-05-06,258.450012,261.149994,241.649994,252.0,22.99407,512100
3,2011-05-09,259.799988,263.25,238.19999700000002,240.44999700000002,21.940174,580900
4,2011-05-10,235.19999700000002,235.5,217.649994,221.25,20.188246,1038900
5,2011-05-11,218.25,218.25,195.600006,202.350006,18.46369,1357100
6,2011-05-12,200.850006,209.699997,188.25,189.0,17.245552,934100
7,2011-05-13,193.5,200.25,180.0,197.399994,18.01202,914100
8,2011-05-16,198.75,203.550003,184.5,189.0,17.245552,552300
9,2011-05-17,189.0,194.550003,185.399994,190.949997,17.423482999999997,270400
10,2011-05-18,197.699997,208.350006,196.800003,205.5,18.751116,624200
11,2011-05-19,210.0,222.0,205.050003,206.25,18.819551,1148600
12,2011-05-20,208.199997,208.199997,194.25,195.0,17.793029999999998,414800
13,2011-05-23,187.199997,190.199997,184.5,186.0,16.971813,310500
14,2011-05-24,189.899994,195.75,183.0,183.899994,16.780195000000003,283600
15,2011-05-25,184.050003,190.199997,183.0,185.25,16.903378,262300
16,2011-05-26,187.350006,190.350006,183.899994,190.350006,17.368734,193300
17,2011-05-27,194.550003,197.25,192.0,195.0,17.793029999999998,279200
18,2011-05-31,198.899994,200.25,189.300003,192.75,17.587726999999997,320000
19,2011-06-01,192.75,193.800003,184.649994,186.0,16.971813,241200
20,2011-06-02,188.850006,197.699997,186.149994,195.149994,17.806717000000003,199100
21,2011-06-03,191.25,198.300003,189.0,190.350006,17.368734,269800
22,2011-06-06,193.5,193.949997,181.800003,185.100006,16.889692,222400
23,2011-06-07,186.0,190.5,181.5,182.550003,16.657013,194100
24,2011-06-08,181.949997,184.050003,156.0,157.649994,14.384979999999999,715800
25,2011-06-09,156.300003,159.0,136.5,137.550003,12.550930000000001,783400
