,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,RGLS,08/18/20,0.6,0.63,0.59,0.62,606695,0.02,3.33%
1,RGLS,08/17/20,0.61,0.61,0.57,0.6,1167988,-0.01,-1.61%
2,RGLS,08/14/20,0.65,0.6613,0.6025,0.6098,1069000,-0.03,-4.72%
3,RGLS,08/13/20,0.61,0.66,0.6,0.64,1250870,-0.04,-5.88%
4,RGLS,08/12/20,0.7006,0.7098,0.6627,0.68,1306172,-0.03,-4.23%
5,RGLS,08/11/20,0.72,0.75,0.7,0.71,1161784,-0.01,-0.82%
6,RGLS,08/10/20,0.71,0.75,0.6833,0.7159,1223815,0.0,0.62%
7,RGLS,08/07/20,0.73,0.7386,0.6957,0.7115,935900,-0.01,-1.86%
8,RGLS,08/06/20,0.771,0.7748,0.72,0.725,1096738,-0.05,-5.84%
9,RGLS,08/05/20,0.75,0.78,0.72,0.77,2240943,0.03,4.05%
10,RGLS,08/04/20,0.69,0.77,0.68,0.74,2087608,0.05,7.25%
11,RGLS,08/03/20,0.71,0.71,0.66,0.69,1656269,-0.01,-1.79%
12,RGLS,07/31/20,0.7352,0.7444,0.7011,0.7026,2006900,-0.06,-7.55%
13,RGLS,07/30/20,0.77,0.8,0.71,0.76,4430296,-0.08,-9.52%
14,RGLS,07/29/20,0.92,1.2,0.78,0.84,49393134,0.04,5.00%
15,RGLS,07/28/20,0.858,0.858,0.79,0.8,887648,-0.02,-2.44%
16,RGLS,07/27/20,0.83,0.86,0.79,0.82,1689561,-0.01,-1.20%
17,RGLS,07/24/20,0.8,0.83,0.76,0.83,1741000,0.04,5.28%
18,RGLS,07/23/20,0.834,0.834,0.75,0.7884,3069755,-0.06,-6.60%
19,RGLS,07/22/20,0.919,0.935,0.75,0.8441,5361756,-0.11,-11.15%
20,RGLS,07/21/20,1.0,1.05,0.91,0.95,3855827,-0.01,-1.04%
21,RGLS,07/20/20,0.91,1.05,0.89,0.96,6799018,0.09,9.97%
22,RGLS,07/17/20,0.86,0.89,0.8329,0.873,1450300,0.02,2.71%
23,RGLS,07/16/20,0.8198,0.87,0.785,0.85,1851345,0.07,8.96%
24,RGLS,07/15/20,0.7684,0.8029,0.75,0.7801,724563,0.01,1.56%
