,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,RHI,08/18/20,56.78,57.45,56.4,56.83,1248649,-0.04,-0.07%
1,RHI,08/17/20,56.39,57.01,55.96,56.87,891545,0.24,0.42%
2,RHI,08/14/20,55.93,57.03,55.77,56.63,565300,0.24,0.43%
3,RHI,08/13/20,56.05,56.97,55.52,56.39,779244,-0.13,-0.23%
4,RHI,08/12/20,56.6,56.67,55.91,56.52,789029,0.5,0.89%
5,RHI,08/11/20,55.7,57.0,55.7,56.02,1039517,0.92,1.67%
6,RHI,08/10/20,53.61,55.12,53.6,55.1,576900,1.52,2.84%
7,RHI,08/07/20,52.66,53.71,52.27,53.58,841100,0.78,1.48%
8,RHI,08/06/20,53.02,53.68,52.74,52.8,913675,-0.41,-0.77%
9,RHI,08/05/20,52.23,53.45,52.12,53.21,987550,1.4,2.70%
10,RHI,08/04/20,50.98,51.99,50.89,51.81,1119831,0.81,1.59%
11,RHI,08/03/20,51.02,51.84,50.42,51.0,805763,0.13,0.26%
12,RHI,07/31/20,50.71,50.95,49.72,50.87,1166000,-0.06,-0.12%
13,RHI,07/30/20,51.44,51.63,50.42,50.93,1084896,-1.02,-1.96%
14,RHI,07/29/20,51.33,52.2,50.92,51.95,922371,0.81,1.58%
15,RHI,07/28/20,52.0,52.52,51.07,51.14,1202263,-1.18,-2.26%
16,RHI,07/27/20,52.66,52.82,51.97,52.32,1045842,-0.41,-0.78%
17,RHI,07/24/20,54.03,55.6,52.51,52.73,1278800,-1.12,-2.08%
18,RHI,07/23/20,53.13,54.59,53.13,53.85,1015570,0.3,0.56%
19,RHI,07/22/20,53.52,53.97,53.09,53.55,596690,-0.05,-0.09%
20,RHI,07/21/20,53.27,54.04,53.18,53.6,775556,0.52,0.98%
21,RHI,07/20/20,53.83,54.21,52.83,53.08,865447,-1.08,-1.99%
22,RHI,07/17/20,54.77,54.77,53.92,54.16,628400,-0.51,-0.93%
23,RHI,07/16/20,54.31,55.32,53.98,54.67,722377,0.57,1.05%
24,RHI,07/15/20,53.0,54.45,52.75,54.1,1070351,2.11,4.06%
25,RHI,07/14/20,51.36,52.04,50.63,51.99,776428,0.44,0.85%
26,RHI,07/13/20,50.93,52.5,50.64,51.55,1102623,0.87,1.72%
27,RHI,07/10/20,49.76,50.74,49.24,50.68,1476700,1.41,2.86%
28,RHI,07/09/20,50.33,50.44,49.04,49.27,624094,-1.26,-2.49%
29,RHI,07/08/20,50.68,50.93,49.89,50.53,774811,-0.06,-0.12%
30,RHI,07/07/20,51.96,51.96,50.55,50.59,795063,-1.82,-3.47%
31,RHI,07/06/20,52.5,53.11,51.87,52.41,678732,0.69,1.33%
32,RHI,07/02/20,52.22,53.19,51.64,51.72,815000,0.23,0.45%
33,RHI,07/01/20,53.22,53.22,51.35,51.49,1281886,-1.34,-2.54%
34,RHI,06/30/20,51.57,53.04,51.57,52.83,1193859,1.0,1.93%
35,RHI,06/29/20,51.11,51.85,50.65,51.83,1099905,1.23,2.43%
36,RHI,06/26/20,49.85,50.72,49.49,50.6,3782900,0.26,0.52%
37,RHI,06/25/20,48.94,50.52,48.46,50.34,1378337,0.87,1.76%
38,RHI,06/24/20,51.32,51.58,49.4,49.47,2560733,-2.45,-4.72%
39,RHI,06/23/20,52.01,52.42,51.52,51.92,1383813,0.67,1.31%
40,RHI,06/22/20,50.67,51.51,49.98,51.25,1318815,0.15,0.29%
41,RHI,06/19/20,52.51,52.51,50.19,51.1,2723000,-0.58,-1.12%
42,RHI,06/18/20,51.97,52.9,51.4,51.68,878066,-0.84,-1.60%
43,RHI,06/17/20,52.42,53.54,52.02,52.52,1207944,0.15,0.29%
44,RHI,06/16/20,53.48,53.5,51.68,52.37,1421269,0.77,1.49%
45,RHI,06/15/20,49.41,51.96,49.24,51.6,1322193,0.31,0.60%
46,RHI,06/12/20,53.2,53.55,50.27,51.29,1216900,0.18,0.35%
47,RHI,06/11/20,53.18,53.53,51.07,51.11,1330053,-4.35,-7.84%
48,RHI,06/10/20,57.71,57.71,55.36,55.46,1098951,-2.35,-4.07%
49,RHI,06/09/20,58.79,58.79,57.27,57.81,1261382,-2.11,-3.52%
50,RHI,06/08/20,58.39,60.13,58.39,59.92,1730833,2.03,3.51%
51,RHI,06/05/20,57.98,60.06,57.62,57.89,2519400,2.03,3.63%
52,RHI,06/04/20,54.66,56.61,54.59,55.86,1779074,0.76,1.38%
53,RHI,06/03/20,54.23,55.3,53.95,55.1,1677272,1.92,3.61%
54,RHI,06/02/20,52.32,53.34,52.06,53.18,985896,1.35,2.60%
55,RHI,06/01/20,50.89,52.31,50.85,51.83,1028004,1.09,2.15%
56,RHI,05/29/20,50.89,51.24,49.71,50.74,1624800,-0.69,-1.34%
57,RHI,05/28/20,52.37,52.45,51.11,51.43,993163,-0.35,-0.68%
58,RHI,05/27/20,51.75,52.43,51.11,51.78,1113747,1.21,2.39%
59,RHI,05/26/20,48.85,51.55,48.85,50.57,1839074,3.16,6.67%
60,RHI,05/22/20,48.11,48.31,47.31,47.41,999900,-1.09,-2.25%
61,RHI,05/21/20,48.99,49.91,48.42,48.5,764160,-0.49,-1.00%
62,RHI,05/20/20,48.66,50.28,48.66,48.99,910681,0.82,1.70%
63,RHI,05/19/20,47.72,49.08,47.72,48.17,965554,-0.4,-0.82%
64,RHI,05/18/20,46.9,48.9,46.81,48.57,1193083,3.43,7.60%
65,RHI,05/15/20,44.18,45.55,44.18,45.14,1485200,0.53,1.19%
66,RHI,05/14/20,42.85,44.62,41.82,44.61,1282803,1.06,2.43%
67,RHI,05/13/20,44.53,44.53,43.22,43.55,1272390,-1.31,-2.92%
68,RHI,05/12/20,46.37,46.86,44.81,44.86,1144842,-1.57,-3.38%
69,RHI,05/11/20,46.86,46.98,46.22,46.43,1143642,-0.95,-2.01%
70,RHI,05/08/20,45.54,47.54,45.54,47.38,1280400,2.22,4.92%
71,RHI,05/07/20,44.65,45.68,44.65,45.16,1148810,1.27,2.89%
72,RHI,05/06/20,44.62,44.76,43.7,43.89,964803,-0.47,-1.06%
73,RHI,05/05/20,44.83,45.52,44.22,44.36,1152973,0.15,0.34%
74,RHI,05/04/20,44.0,44.54,43.37,44.21,1463145,-0.17,-0.38%
75,RHI,05/01/20,46.4,46.52,43.97,44.38,1458000,-2.89,-6.11%
76,RHI,04/30/20,46.84,47.67,46.68,47.27,1587062,-1.02,-2.11%
77,RHI,04/29/20,47.51,48.68,47.2,48.29,2042924,1.99,4.30%
78,RHI,04/28/20,46.44,47.44,45.7,46.3,1430701,0.79,1.74%
79,RHI,04/27/20,44.32,45.86,44.29,45.51,1416733,1.45,3.29%
80,RHI,04/24/20,45.0,47.16,42.63,44.06,3303900,0.28,0.64%
81,RHI,04/23/20,42.36,44.2,42.01,43.78,2037727,2.43,5.88%
82,RHI,04/22/20,42.19,42.38,40.97,41.35,2418480,0.05,0.12%
83,RHI,04/21/20,39.39,41.62,39.27,41.3,1758029,0.11,0.27%
84,RHI,04/20/20,41.37,42.63,41.11,41.19,1815465,-2.05,-4.74%
85,RHI,04/17/20,41.85,43.4,41.51,43.24,1555500,2.84,7.03%
86,RHI,04/16/20,41.3,41.3,38.95,40.4,1671969,-0.78,-1.89%
87,RHI,04/15/20,40.49,41.91,39.53,41.18,1832294,-0.56,-1.34%
88,RHI,04/14/20,41.47,42.33,40.88,41.74,2021506,0.81,1.98%
89,RHI,04/13/20,42.79,43.2,40.25,40.93,1876659,-2.35,-5.43%
90,RHI,04/09/20,42.37,43.96,41.88,43.28,1653600,1.88,4.54%
91,RHI,04/08/20,41.03,41.73,39.7,41.4,1528821,1.23,3.06%
