,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,SAMAW,08/18/20,0.552,0.58,0.54,0.5701,81408,0.02,2.74%
1,SAMAW,08/17/20,0.45,0.56,0.45,0.5549,94563,0.09,20.58%
2,SAMAW,08/14/20,0.57,0.57,0.46,0.4602,38600,-0.03,-7.03%
3,SAMAW,08/13/20,0.498,0.498,0.47,0.495,22627,0.03,6.00%
4,SAMAW,08/12/20,0.46,0.5,0.46,0.467,48488,-0.02,-4.69%
5,SAMAW,08/11/20,0.59,0.59,0.47,0.49,167765,-0.05,-9.26%
6,SAMAW,08/10/20,0.42,0.54,0.4001,0.54,289036,0.15,38.46%
7,SAMAW,08/07/20,0.48,0.52,0.385,0.39,291800,0.01,1.30%
8,SAMAW,08/06/20,0.45,0.45,0.385,0.385,260643,-0.07,-14.44%
9,SAMAW,08/05/20,0.49,0.52,0.45,0.45,58059,-0.06,-11.76%
10,SAMAW,08/04/20,0.47,0.59,0.47,0.51,62401,0.05,10.87%
11,SAMAW,08/03/20,0.4047,0.49,0.4047,0.46,69537,0.04,9.52%
12,SAMAW,07/31/20,0.4,0.45,0.2932,0.42,357300,0.02,5.00%
13,SAMAW,07/30/20,0.45,0.46,0.39,0.4,143894,-0.04,-9.09%
14,SAMAW,07/29/20,0.52,0.52,0.42,0.44,134374,-0.02,-3.51%
15,SAMAW,07/28/20,0.5216,0.6,0.451,0.456,227088,-0.18,-28.75%
16,SAMAW,07/27/20,0.85,0.85,0.422,0.64,980418,-0.1,-13.51%
17,SAMAW,07/24/20,0.75,0.82,0.7,0.74,95000,-0.1,-11.92%
18,SAMAW,07/23/20,0.75,0.85,0.75,0.8401,138236,0.09,12.03%
19,SAMAW,07/22/20,0.69,0.75,0.66,0.7499,100248,0.05,7.13%
20,SAMAW,07/21/20,0.78,0.7994,0.6657,0.7,212011,-0.06,-7.89%
21,SAMAW,07/20/20,0.92,0.92,0.71,0.76,156538,-0.12,-13.64%
22,SAMAW,07/17/20,0.82,0.928,0.8124,0.88,75200,0.04,4.76%
23,SAMAW,07/16/20,0.88,0.88,0.82,0.84,36405,-0.01,-1.18%
24,SAMAW,07/15/20,0.889,0.889,0.75,0.85,254158,0.07,8.65%
25,SAMAW,07/14/20,1.0,1.0659999999999998,0.7132,0.7823,496554,-0.19,-19.35%
26,SAMAW,07/13/20,1.25,1.275,0.97,0.97,225005,-0.23,-19.17%
27,SAMAW,07/10/20,1.25,1.29,1.16,1.2,110000,0.03,2.56%
28,SAMAW,07/09/20,1.19,1.3,1.12,1.17,109835,0.08,7.34%
29,SAMAW,07/08/20,1.15,1.19,1.08,1.09,58543,-0.09,-7.63%
