,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,SCWX,08/18/20,12.45,12.75,12.24,12.44,41173,0.0,0.00%
1,SCWX,08/17/20,12.28,12.63,12.23,12.44,29818,0.21,1.72%
2,SCWX,08/14/20,12.27,12.52,12.1,12.23,83200,-0.06,-0.49%
3,SCWX,08/13/20,12.19,12.64,12.02,12.29,62214,0.13,1.07%
4,SCWX,08/12/20,12.14,12.43,12.07,12.16,49244,0.1,0.83%
5,SCWX,08/11/20,12.16,12.3,11.94,12.06,70666,-0.14,-1.15%
6,SCWX,08/10/20,12.26,12.49,11.95,12.2,100256,-0.09,-0.73%
7,SCWX,08/07/20,11.97,12.5,11.97,12.29,116000,0.26,2.16%
8,SCWX,08/06/20,12.08,12.37,11.92,12.03,131684,-0.19,-1.55%
9,SCWX,08/05/20,12.05,12.37,11.88,12.22,131557,0.18,1.50%
10,SCWX,08/04/20,11.99,12.33,11.8,12.04,128932,0.02,0.17%
11,SCWX,08/03/20,12.06,12.5,11.73,12.02,102240,0.06,0.50%
12,SCWX,07/31/20,12.31,12.31,11.52,11.96,136600,-0.33,-2.69%
13,SCWX,07/30/20,12.21,12.6,11.76,12.29,74225,-0.11,-0.89%
14,SCWX,07/29/20,12.18,12.46,12.1,12.4,91512,0.34,2.82%
15,SCWX,07/28/20,11.94,12.22,11.86,12.06,47048,0.06,0.50%
16,SCWX,07/27/20,11.71,12.14,11.71,12.0,76042,0.21,1.78%
17,SCWX,07/24/20,11.93,12.13,11.64,11.79,49100,-0.31,-2.56%
18,SCWX,07/23/20,12.35,12.72,11.61,12.1,135747,-0.24,-1.94%
19,SCWX,07/22/20,12.42,12.6,11.95,12.34,99431,0.02,0.16%
20,SCWX,07/21/20,12.81,12.84,12.21,12.32,187995,-0.35,-2.76%
21,SCWX,07/20/20,12.33,12.72,12.07,12.67,150724,0.33,2.67%
22,SCWX,07/17/20,12.1,12.49,12.1,12.34,89900,0.21,1.73%
23,SCWX,07/16/20,11.96,12.22,11.59,12.13,101691,0.07,0.58%
24,SCWX,07/15/20,12.29,12.57,11.94,12.06,124849,-0.1,-0.82%
25,SCWX,07/14/20,11.24,12.24,10.86,12.16,168066,0.81,7.14%
26,SCWX,07/13/20,11.91,11.91,11.13,11.35,134970,-0.36,-3.07%
27,SCWX,07/10/20,12.0,12.0,11.51,11.71,72300,-0.31,-2.58%
28,SCWX,07/09/20,12.07,12.15,11.23,12.02,133092,-0.01,-0.08%
29,SCWX,07/08/20,11.73,12.15,11.64,12.03,87092,0.33,2.82%
30,SCWX,07/07/20,11.79,12.23,11.69,11.7,143156,-0.25,-2.09%
31,SCWX,07/06/20,11.78,12.33,11.72,11.95,100979,0.37,3.20%
32,SCWX,07/02/20,11.77,12.18,11.53,11.58,83600,0.0,0.00%
33,SCWX,07/01/20,11.37,11.99,11.26,11.58,109422,0.15,1.31%
34,SCWX,06/30/20,11.11,11.48,11.05,11.43,87366,0.38,3.44%
35,SCWX,06/29/20,11.07,11.43,10.84,11.05,80390,0.04,0.36%
36,SCWX,06/26/20,11.25,11.35,10.76,11.01,195600,-0.32,-2.82%
37,SCWX,06/25/20,11.41,11.48,11.1,11.33,84923,-0.05,-0.44%
38,SCWX,06/24/20,11.5,11.57,10.81,11.38,155629,-0.1,-0.91%
