,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,SELF,08/18/20,3.83,3.87,3.76,3.85,22991,0.02,0.52%
1,SELF,08/17/20,3.84,3.84,3.7,3.83,60973,0.16,4.36%
2,SELF,08/14/20,3.795,3.89,3.665,3.67,35100,-0.09,-2.39%
3,SELF,08/13/20,3.73,3.79,3.51,3.76,33514,0.03,0.80%
4,SELF,08/12/20,3.865,3.865,3.5,3.73,70722,-0.13,-3.42%
5,SELF,08/11/20,3.93,3.98,3.84,3.862,28672,-0.07,-1.73%
6,SELF,08/10/20,3.84,3.98,3.84,3.93,22083,0.08,2.08%
7,SELF,08/07/20,3.85,3.8710000000000004,3.85,3.85,4500,0.01,0.26%
8,SELF,08/06/20,3.8,3.92,3.8,3.84,7954,0.02,0.65%
9,SELF,08/05/20,3.8110000000000004,3.86,3.795,3.815,4356,0.01,0.14%
10,SELF,08/04/20,3.79,3.83,3.76,3.81,16725,-0.02,-0.52%
11,SELF,08/03/20,3.74,3.83,3.72,3.83,24521,0.09,2.41%
12,SELF,07/31/20,3.77,3.782,3.6839999999999997,3.74,49400,-0.0,-0.13%
13,SELF,07/30/20,3.67,3.759,3.67,3.745,14141,-0.01,-0.40%
14,SELF,07/29/20,3.78,3.78,3.76,3.76,8584,0.0,0.00%
15,SELF,07/28/20,3.7,3.77,3.68,3.76,19754,0.06,1.76%
16,SELF,07/27/20,3.73,3.75,3.6919999999999997,3.695,7093,-0.06,-1.73%
17,SELF,07/24/20,3.8,3.8,3.745,3.76,5700,-0.02,-0.40%
18,SELF,07/23/20,3.67,3.79,3.67,3.775,14191,0.07,2.03%
19,SELF,07/22/20,3.75,3.78,3.69,3.7,9773,-0.03,-0.80%
20,SELF,07/21/20,3.77,3.77,3.6660000000000004,3.73,6097,0.01,0.27%
21,SELF,07/20/20,3.74,3.75,3.7,3.72,9997,0.01,0.25%
22,SELF,07/17/20,3.78,3.78,3.7,3.7110000000000003,17700,-0.07,-1.84%
23,SELF,07/16/20,3.8,3.812,3.7,3.78,36075,-0.01,-0.27%
24,SELF,07/15/20,3.82,3.82,3.75,3.79,12174,0.03,0.80%
25,SELF,07/14/20,3.79,3.82,3.75,3.76,19562,-0.04,-1.05%
26,SELF,07/13/20,3.83,3.83,3.77,3.8,10672,-0.03,-0.78%
27,SELF,07/10/20,3.8539999999999996,3.89,3.8169999999999997,3.83,5100,0.03,0.79%
28,SELF,07/09/20,3.82,3.87,3.8,3.8,6964,-0.03,-0.65%
29,SELF,07/08/20,3.89,3.9,3.81,3.825,12404,-0.05,-1.42%
30,SELF,07/07/20,3.9,3.93,3.88,3.88,21700,0.0,0.00%
31,SELF,07/06/20,3.86,3.9,3.86,3.88,6629,-0.01,-0.26%
32,SELF,07/02/20,3.91,3.91,3.88,3.89,10500,-0.04,-1.02%
33,SELF,07/01/20,3.84,3.93,3.84,3.93,7510,0.08,2.08%
34,SELF,06/30/20,3.93,3.93,3.82,3.85,21735,-0.08,-2.04%
35,SELF,06/29/20,3.94,3.94,3.885,3.93,8580,0.0,0.00%
36,SELF,06/26/20,3.9,3.93,3.77,3.93,45800,0.05,1.29%
37,SELF,06/25/20,3.88,3.96,3.79,3.88,14655,0.01,0.26%
38,SELF,06/24/20,3.91,3.96,3.87,3.87,6370,-0.08,-2.03%
39,SELF,06/23/20,3.91,3.98,3.91,3.95,4749,0.02,0.51%
40,SELF,06/22/20,4.0,4.0,3.903,3.93,9978,-0.07,-1.75%
41,SELF,06/19/20,3.925,4.0,3.91,4.0,15900,0.1,2.56%
42,SELF,06/18/20,3.93,3.991,3.87,3.9,8509,0.06,1.56%
43,SELF,06/17/20,3.91,4.05,3.84,3.84,81280,-0.16,-4.00%
44,SELF,06/16/20,3.89,4.0,3.89,4.0,9585,0.17,4.44%
45,SELF,06/15/20,3.73,3.9339999999999997,3.73,3.83,11580,0.03,0.79%
46,SELF,06/12/20,3.98,3.98,3.8,3.8,11800,-0.08,-2.16%
47,SELF,06/11/20,3.91,3.99,3.85,3.884,45495,-0.07,-1.68%
48,SELF,06/10/20,3.99,4.0,3.95,3.95,18842,-0.01,-0.25%
49,SELF,06/09/20,4.0,4.0,3.96,3.96,18388,-0.03,-0.75%
50,SELF,06/08/20,4.04,4.04,3.95,3.99,63340,0.0,0.00%
51,SELF,06/05/20,4.0,4.0,3.96,3.99,27600,-0.01,-0.25%
52,SELF,06/04/20,4.05,4.05,3.988,4.0,21113,0.0,0.00%
53,SELF,06/03/20,4.11,4.11,4.0,4.0,18617,-0.1,-2.44%
