,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,12.0,12.0,11.2,11.2,11.2,1700
1,2015-09-01,11.7,11.98,11.5,11.56,11.56,2600
2,2015-09-02,11.56,12.0,11.5,11.76,11.76,1500
3,2015-09-03,11.8,12.26,11.6,12.26,12.26,2700
4,2015-09-04,12.26,13.8,12.2,13.6,13.6,6600
5,2015-09-08,13.8,13.8,13.2,13.6,13.6,1600
6,2015-09-09,13.58,13.6,12.8,13.6,13.6,3700
7,2015-09-10,13.7,13.7,13.32,13.6,13.6,900
8,2015-09-11,13.8,14.0,13.7,14.0,14.0,2600
9,2015-09-14,14.0,14.2,13.46,13.8,13.8,2200
10,2015-09-15,13.6,13.8,13.6,13.8,13.8,500
11,2015-09-16,13.7,13.8,13.4,13.4,13.4,1200
12,2015-09-17,13.6,17.799999,13.6,15.8,15.8,9400
13,2015-09-18,15.8,15.8,15.0,15.3,15.3,1400
14,2015-09-21,15.6,15.8,15.3,15.8,15.8,2300
15,2015-09-22,16.0,16.799999,15.2,16.0,16.0,3300
16,2015-09-23,16.0,16.0,15.0,15.6,15.6,1600
17,2015-09-24,16.0,16.0,15.34,15.98,15.98,1100
18,2015-09-25,15.74,15.74,14.02,14.2,14.2,1600
19,2015-09-28,14.9,15.1,14.2,14.76,14.76,2900
20,2015-09-29,14.2,15.4,14.2,15.4,15.4,600
21,2015-09-30,15.8,18.0,15.22,17.5,17.5,22200
22,2015-10-01,17.700001,19.200001,17.4,17.4,17.4,15200
23,2015-10-02,17.0,18.0,17.0,17.4,17.4,700
24,2015-10-05,17.84,17.84,15.0,16.4,16.4,6000
25,2015-10-06,16.5,17.200001,16.4,17.0,17.0,2600
26,2015-10-07,16.799999,17.879998999999998,16.0,17.0,17.0,1000
27,2015-10-08,17.0,17.879998999999998,16.16,16.4,16.4,1800
28,2015-10-09,16.200001,16.98,16.200001,16.68,16.68,800
29,2015-10-12,16.98,160.0,15.86,16.200001,16.200001,4200
30,2015-10-13,16.200001,16.4,15.86,16.200001,16.200001,1900
31,2015-10-14,16.1,16.1,15.9,16.0,16.0,900
32,2015-10-15,16.200001,16.200001,15.9,16.0,16.0,2100
33,2015-10-16,16.0,16.200001,15.9,16.200001,16.200001,2100
34,2015-10-19,16.040001,16.799999,15.9,16.200001,16.200001,1800
35,2015-10-20,16.0,16.02,15.9,15.9,15.9,2900
36,2015-10-21,16.0,16.139999,16.0,16.0,16.0,300
37,2015-10-22,16.0,16.139999,14.76,15.0,15.0,3200
38,2015-10-23,15.0,16.799999,14.8,16.799999,16.799999,1300
39,2015-10-26,15.78,16.799999,15.78,16.6,16.6,400
40,2015-10-27,16.0,16.6,14.76,15.32,15.32,5900
41,2015-10-28,15.32,16.299999,14.76,15.2,15.2,3600
42,2015-10-29,15.5,15.6,14.76,14.88,14.88,4500
43,2015-10-30,15.0,15.0,14.88,15.0,15.0,500
44,2015-11-02,15.0,15.98,14.76,15.2,15.2,1500
45,2015-11-03,16.0,16.0,14.76,16.0,16.0,2200
46,2015-11-04,16.0,16.0,15.1,15.2,15.2,500
47,2015-11-05,16.0,16.0,14.76,15.72,15.72,700
48,2015-11-06,14.9,15.8,14.76,15.8,15.8,700
49,2015-11-09,15.6,15.9,14.98,15.0,15.0,2900
50,2015-11-10,14.76,14.86,14.0,14.16,14.16,8900
51,2015-11-11,14.16,14.6,12.6,13.0,13.0,3900
52,2015-11-12,13.0,13.2,12.2,12.2,12.2,3600
53,2015-11-13,12.2,13.5,12.2,13.0,13.0,5000
54,2015-11-16,13.0,13.0,12.02,12.3,12.3,2100
55,2015-11-17,12.2,12.3,11.8,12.0,12.0,3500
56,2015-11-18,12.0,12.4,12.0,12.2,12.2,1100
57,2015-11-19,12.6,14.0,11.8,12.0,12.0,6500
58,2015-11-20,12.0,12.36,11.2,11.9,11.9,6000
59,2015-11-23,11.2,11.9,11.0,11.4,11.4,1800
60,2015-11-24,11.1,12.0,10.0,11.28,11.28,11800
61,2015-11-25,12.0,13.0,10.62,11.56,11.56,2300
62,2015-11-27,12.0,12.0,11.0,12.0,12.0,1400
63,2015-11-30,10.6,12.0,10.22,12.0,12.0,3900
64,2015-12-01,12.0,12.0,11.4,11.44,11.44,6000
65,2015-12-02,12.0,12.0,11.6,11.6,11.6,1000
66,2015-12-03,11.6,11.7,10.6,10.98,10.98,6700
67,2015-12-04,11.0,11.5,10.96,11.5,11.5,1500
68,2015-12-07,11.5,11.98,11.12,11.6,11.6,1900
69,2015-12-08,11.22,12.0,11.1,11.2,11.2,2300
70,2015-12-09,11.6,11.64,10.0,10.98,10.98,4500
71,2015-12-10,11.8,11.8,10.6,11.16,11.16,1500
72,2015-12-11,10.6,11.44,10.6,11.0,11.0,2000
73,2015-12-14,11.2,11.2,10.96,11.04,11.04,500
74,2015-12-15,10.9,11.1,10.0,10.4,10.4,8700
75,2015-12-16,10.4,10.86,10.02,10.6,10.6,3800
76,2015-12-17,10.98,11.2,10.06,11.2,11.2,2800
77,2015-12-18,11.2,11.2,10.5,11.0,11.0,1600
78,2015-12-21,11.0,11.6,10.0,11.1,11.1,4000
79,2015-12-22,11.6,11.6,10.6,10.96,10.96,1700
80,2015-12-23,10.8,10.8,10.22,10.6,10.6,1300
81,2015-12-24,10.4,11.1,10.3,10.3,10.3,2100
82,2015-12-28,10.3,10.8,10.2,10.44,10.44,1400
83,2015-12-29,10.64,10.64,10.2,10.2,10.2,3900
84,2015-12-30,10.2,10.6,10.0,10.4,10.4,5400
85,2015-12-31,10.8,10.8,10.4,10.7,10.7,2500
86,2016-01-04,10.7,10.8,10.0,10.2,10.2,5600
87,2016-01-05,10.2,10.9,10.02,10.58,10.58,1600
88,2016-01-06,10.6,10.64,10.2,10.2,10.2,3900
89,2016-01-07,10.6,10.6,10.0,10.0,10.0,3900
90,2016-01-08,10.0,10.18,10.0,10.0,10.0,9800
91,2016-01-11,10.0,10.0,9.0,9.2,9.2,10500
92,2016-01-12,9.4,9.6,9.06,9.2,9.2,3700
93,2016-01-13,9.28,10.4,9.2,9.8,9.8,2900
94,2016-01-14,9.7,10.7,9.06,9.6,9.6,2800
95,2016-01-15,9.6,10.8,9.0,9.8,9.8,1800
96,2016-01-19,9.2,10.0,9.0,9.2,9.2,3700
97,2016-01-20,9.7,9.7,9.0,9.0,9.0,1600
98,2016-01-21,9.0,10.4,9.0,10.4,10.4,5400
