,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,15.975,16.25,14.5675,15.475,15.475,8900
1,2015-09-01,15.5,15.75,14.775,15.75,15.75,800
2,2015-09-02,16.075001,16.075001,14.775,15.35,15.35,600
3,2015-09-03,14.75,15.6,14.75,15.325,15.325,1000
4,2015-09-04,14.56,14.975,14.1,14.6,14.6,1600
5,2015-09-08,14.1,14.1,14.1,14.1,14.1,200
6,2015-09-09,14.975,15.375,14.975,15.15,15.15,4400
7,2015-09-10,15.575,15.575,15.575,15.575,15.575,100
8,2015-09-11,15.65,15.65,15.0,15.575,15.575,1500
9,2015-09-14,15.575,15.575,15.575,15.575,15.575,0
10,2015-09-15,14.575,15.575,14.575,14.925,14.925,800
11,2015-09-16,14.5,15.675,14.5,15.425,15.425,1800
12,2015-09-17,15.995,17.6,15.95,16.887501,16.887501,2500
13,2015-09-18,16.025,16.025,15.35,15.35,15.35,1400
14,2015-09-21,15.725,18.0,15.725,17.625,17.625,9200
15,2015-09-22,18.0,18.5,17.625,18.200001,18.200001,4900
16,2015-09-23,19.0,19.75,18.75,19.375,19.375,2800
17,2015-09-24,20.025,20.025,18.375,18.375,18.375,6200
18,2015-09-25,17.625,17.674999,16.475,16.85,16.85,2800
19,2015-09-28,16.725,17.275,15.425,16.6,16.6,1700
20,2015-09-29,16.0,17.325001,14.25,14.25,14.25,11800
21,2015-09-30,14.25,14.725,14.0,14.725,14.725,1900
22,2015-10-01,15.175,15.175,15.175,15.175,15.175,0
23,2015-10-02,15.175,15.175,15.175,15.175,15.175,0
24,2015-10-05,16.665001,16.665001,16.665001,16.665001,16.665001,100
25,2015-10-06,14.75,14.9,14.75,14.85,14.85,600
26,2015-10-07,15.25,15.25,15.25,15.25,15.25,100
27,2015-10-08,15.015,15.4,15.015,15.165,15.165,200
28,2015-10-09,15.0,15.135,15.0,15.135,15.135,400
29,2015-10-12,17.25,17.25,17.075001,17.075001,17.075001,900
30,2015-10-13,16.875,16.875,16.825001,16.825001,16.825001,900
31,2015-10-14,15.6375,16.725,15.47,16.65,16.65,1600
32,2015-10-15,16.775,16.775,16.775,16.775,16.775,200
33,2015-10-16,17.0,17.5,17.0,17.5,17.5,600
34,2015-10-19,17.5,17.5,17.5,17.5,17.5,0
35,2015-10-20,17.5,17.5,17.5,17.5,17.5,0
36,2015-10-21,17.625,17.975,17.625,17.975,17.975,200
37,2015-10-22,18.0,18.0,17.725,17.975,17.975,200
38,2015-10-23,18.25,18.25,16.725,16.975,16.975,1700
39,2015-10-26,17.5,18.25,17.5,18.25,18.25,2400
40,2015-10-27,18.225,19.475,18.1,19.475,19.475,3200
41,2015-10-28,19.25,19.5,18.875,19.5,19.5,1600
42,2015-10-29,19.5,19.5,19.5,19.5,19.5,0
43,2015-10-30,19.375,19.625,19.375,19.6,19.6,900
44,2015-11-02,19.6,19.6,19.6,19.6,19.6,0
45,2015-11-03,19.75,20.85,19.75,20.85,20.85,600
46,2015-11-04,20.875,20.875,20.875,20.875,20.875,300
47,2015-11-05,20.875,20.875,20.875,20.875,20.875,0
48,2015-11-06,20.65,20.950001,19.924999,20.950001,20.950001,1400
49,2015-11-09,20.950001,20.950001,19.0,20.9,20.9,1100
50,2015-11-10,20.5,20.5,20.049999,20.049999,20.049999,400
51,2015-11-11,20.1,20.1,20.0,20.0,20.0,200
52,2015-11-12,20.0,20.0,20.0,20.0,20.0,0
53,2015-11-13,17.049999,18.297501,17.049999,18.297501,18.297501,300
54,2015-11-16,18.0,19.719998999999998,16.924999,19.719998999999998,19.719998999999998,900
55,2015-11-17,19.25,19.25,18.025,18.025,18.025,200
56,2015-11-18,17.75,17.75,16.950001,16.950001,16.950001,1200
57,2015-11-19,17.035,17.035,16.924999,16.924999,16.924999,400
58,2015-11-20,17.049999,17.049999,17.025,17.047501,17.047501,200
59,2015-11-23,17.275,19.975,17.275,18.75,18.75,3700
60,2015-11-24,16.924999,17.299999,16.924999,17.299999,17.299999,1700
61,2015-11-25,17.25,19.0,17.0,18.5,18.5,3000
62,2015-11-27,17.924999,17.924999,17.9,17.9,17.9,300
63,2015-11-30,18.25,18.25,17.2675,17.2675,17.2675,500
64,2015-12-01,16.950001,17.1,16.950001,17.1,17.1,200
65,2015-12-02,17.1,17.1,16.424999,16.424999,16.424999,1600
66,2015-12-03,16.575001,16.725,16.475,16.5,16.5,300
67,2015-12-04,16.5,16.5,16.5,16.5,16.5,0
