,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-08-02,11.0,11.5,8.75,11.1875,8.10268,79400
1,2000-08-03,11.375,11.8125,11.0,11.0,7.966886,24700
2,2000-08-04,11.25,11.25,10.375,11.0,7.966886,16400
3,2000-08-07,11.25,11.5,10.9375,10.9375,7.921619000000001,10300
4,2000-08-08,11.0,11.0,10.0,10.1875,7.378421,19300
5,2000-08-09,10.125,10.25,9.5625,10.25,7.4236889999999995,25900
6,2000-08-10,10.0625,10.125,9.1875,9.375,6.789959,35900
7,2000-08-11,9.125,9.25,8.75,9.125,6.608892999999999,27400
8,2000-08-14,9.25,9.375,8.875,9.0625,6.563624000000001,50600
9,2000-08-15,9.0,9.0,8.625,9.0,6.5183599999999995,41100
10,2000-08-16,9.125,9.5,8.8125,8.875,6.427829,53500
11,2000-08-17,8.78125,9.0,8.6875,9.0,6.5183599999999995,37000
12,2000-08-18,9.0,9.4375,8.625,9.0,6.5183599999999995,43800
13,2000-08-21,9.125,9.375,8.9375,9.0,6.5183599999999995,11100
14,2000-08-22,8.9375,8.9375,8.625,8.6875,6.292029,10900
15,2000-08-23,8.6875,9.125,8.6875,8.9375,6.473091999999999,11100
16,2000-08-24,8.921875,9.125,8.625,9.125,6.608892999999999,14400
17,2000-08-25,9.0,9.0,8.8125,8.8125,6.382562,13400
18,2000-08-28,8.875,8.875,8.5,8.625,6.246762,35000
19,2000-08-29,8.625,8.625,8.0,8.0625,5.839365,34400
20,2000-08-30,8.125,8.375,7.5,8.0,5.794097,31600
21,2000-08-31,7.875,7.875,7.25,7.375,5.341436,156300
22,2000-09-01,7.375,7.75,7.125,7.25,5.250902,48000
23,2000-09-05,7.125,7.5,7.0,7.25,5.250902,57200
24,2000-09-06,7.25,7.25,6.4375,6.9375,5.02457,47400
25,2000-09-07,6.5,6.75,6.5,6.5625,4.7529699999999995,74100
26,2000-09-08,6.5,6.5,5.34375,5.625,4.073976999999999,349000
27,2000-09-11,5.625,5.625,5.0,5.0,3.621311,319600
28,2000-09-12,5.3125,6.6875,5.0625,6.421875,4.651121,1465500
