,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,12.26,12.36,12.13,12.22,12.22,118700
1,2015-08-20,12.16,12.2,11.9,12.0,12.0,180600
2,2015-08-21,11.83,12.06,11.66,11.78,11.78,302400
3,2015-08-24,10.35,11.5,9.92,11.5,11.5,222300
4,2015-08-25,11.75,11.75,11.43,11.54,11.54,177000
5,2015-08-26,11.73,12.0,11.49,11.98,11.98,140200
6,2015-08-27,12.0,12.05,11.74,11.86,11.86,111400
7,2015-08-28,12.08,13.06,12.01,12.92,12.92,537400
8,2015-08-31,12.99,13.29,12.71,12.92,12.92,355600
9,2015-09-01,12.74,13.09,12.53,12.75,12.75,188000
10,2015-09-02,12.86,13.25,12.67,13.21,13.21,355700
11,2015-09-03,13.25,13.64,13.16,13.19,13.19,148800
12,2015-09-04,13.09,13.26,12.932,13.09,13.09,101400
13,2015-09-08,13.25,13.44,13.15,13.25,13.25,198200
14,2015-09-09,13.4,13.97,13.4,13.57,13.57,134200
15,2015-09-10,13.59,13.98,13.51,13.86,13.86,128700
16,2015-09-11,13.83,14.03,13.787,13.86,13.86,208700
17,2015-09-14,13.92,14.08,13.819,14.06,14.06,227000
18,2015-09-15,14.1,14.21,14.05,14.14,14.14,232200
19,2015-09-16,14.2,14.42,14.0,14.16,14.16,271500
20,2015-09-17,14.2,14.34,14.1,14.26,14.26,396500
21,2015-09-18,14.27,14.91,13.89,14.04,14.04,633800
22,2015-09-21,14.28,14.69,13.76,13.99,13.99,377800
23,2015-09-22,13.55,13.66,13.09,13.35,13.35,475200
24,2015-09-23,13.28,13.39,13.15,13.3,13.3,548200
25,2015-09-24,13.21,13.35,12.37,12.54,12.54,902600
26,2015-09-25,12.6,12.6,11.5,12.04,12.04,5150500
27,2015-09-28,11.95,12.31,11.64,12.09,12.09,820100
28,2015-09-29,12.0,12.35,11.97,12.29,12.29,704700
29,2015-09-30,12.33,12.48,12.21,12.32,12.32,987700
30,2015-10-01,12.31,12.4,12.08,12.17,12.17,609800
31,2015-10-02,12.13,12.15,11.86,11.92,11.92,558500
32,2015-10-05,12.03,12.37,12.03,12.27,12.27,369000
33,2015-10-06,12.26,12.28,11.77,12.08,12.08,366700
34,2015-10-07,12.06,12.63,12.005,12.55,12.55,508900
35,2015-10-08,12.5,12.57,12.18,12.32,12.32,449100
36,2015-10-09,12.36,12.36,12.1,12.22,12.22,162100
37,2015-10-12,12.25,12.37,12.06,12.12,12.12,187900
38,2015-10-13,12.04,12.36,12.03,12.25,12.25,364000
39,2015-10-14,12.22,12.28,11.87,11.92,11.92,203700
40,2015-10-15,11.97,12.05,11.85,11.95,11.95,187200
41,2015-10-16,11.9,12.2,11.9,12.1,12.1,397900
42,2015-10-19,12.0,12.16,12.0,12.13,12.13,366200
43,2015-10-20,12.13,12.34,12.0,12.11,12.11,310300
44,2015-10-21,12.1,12.22,11.873,12.1,12.1,118700
45,2015-10-22,12.1,12.26,11.09,11.36,11.36,757100
46,2015-10-23,11.37,11.37,10.49,10.55,10.55,487900
47,2015-10-26,10.59,10.85,10.51,10.6,10.6,373900
48,2015-10-27,10.58,10.58,10.2,10.31,10.31,239200
49,2015-10-28,10.33,10.85,10.24,10.77,10.77,375200
50,2015-10-29,10.76,10.78,10.58,10.7,10.7,173600
51,2015-10-30,10.75,10.81,10.486,10.76,10.76,233400
52,2015-11-02,10.75,10.84,10.57,10.74,10.74,228000
53,2015-11-03,10.75,11.0,10.62,10.95,10.95,210400
54,2015-11-04,10.95,10.99,10.74,10.85,10.85,249500
55,2015-11-05,10.83,11.33,10.59,11.29,11.29,435100
56,2015-11-06,11.34,11.9,11.04,11.76,11.76,375300
57,2015-11-09,11.8,11.8,11.31,11.57,11.57,235400
58,2015-11-10,11.51,11.66,11.46,11.64,11.64,176100
59,2015-11-11,11.71,11.79,11.44,11.51,11.51,343400
60,2015-11-12,11.47,11.51,11.13,11.39,11.39,327900
61,2015-11-13,11.31,11.32,10.33,10.51,10.51,638300
62,2015-11-16,10.52,10.62,10.07,10.38,10.38,255100
63,2015-11-17,10.19,10.34,9.34,9.6,9.6,868400
64,2015-11-18,9.67,9.68,9.43,9.61,9.61,291500
65,2015-11-19,9.67,9.73,9.26,9.34,9.34,391400
66,2015-11-20,10.86,11.77,10.69,11.42,11.42,775300
67,2015-11-23,11.34,11.74,11.17,11.45,11.45,364600
68,2015-11-24,11.35,11.67,11.27,11.6,11.6,270000
69,2015-11-25,11.71,11.87,11.61,11.64,11.64,149900
70,2015-11-27,11.7,11.7,11.4,11.48,11.48,91100
71,2015-11-30,11.48,11.5,11.25,11.45,11.45,362800
72,2015-12-01,11.41,11.415,10.95,11.22,11.22,297400
73,2015-12-02,11.27,11.51,11.25,11.42,11.42,147600
74,2015-12-03,11.69,11.7,11.385,11.62,11.62,245600
75,2015-12-04,11.6,11.995,11.56,11.98,11.98,212100
76,2015-12-07,12.03,12.06,11.74,11.79,11.79,211600
77,2015-12-08,11.76,11.82,10.905,11.73,11.73,200900
78,2015-12-09,11.75,11.75,11.22,11.33,11.33,146700
79,2015-12-10,11.27,11.56,11.04,11.53,11.53,207500
80,2015-12-11,11.29,11.57,11.03,11.5,11.5,241900
81,2015-12-14,11.55,11.71,11.37,11.6,11.6,222500
82,2015-12-15,11.65,11.84,11.402,11.43,11.43,257800
83,2015-12-16,11.46,12.04,11.45,12.01,12.01,240200
84,2015-12-17,12.05,12.25,11.96,12.12,12.12,232100
85,2015-12-18,12.12,12.23,11.07,11.96,11.96,298200
86,2015-12-21,12.08,12.93,11.88,12.75,12.75,522300
87,2015-12-22,12.71,12.75,12.27,12.63,12.63,226500
88,2015-12-23,12.71,12.96,12.44,12.82,12.82,262200
89,2015-12-24,12.83,12.95,12.72,12.84,12.84,90800
90,2015-12-28,12.79,13.078,12.56,13.07,13.07,226400
91,2015-12-29,13.12,13.12,12.76,13.02,13.02,165600
92,2015-12-30,13.15,13.2,12.87,12.94,12.94,183800
93,2015-12-31,12.97,13.17,12.68,12.9,12.9,250300
94,2016-01-04,12.76,13.03,12.36,12.85,12.85,395200
95,2016-01-05,12.95,13.4,12.91,13.25,13.25,574000
96,2016-01-06,13.16,13.33,12.95,13.26,13.26,703400
97,2016-01-07,13.1,13.35,13.0,13.34,13.34,823100
98,2016-01-08,13.36,13.42,12.68,12.81,12.81,424300
99,2016-01-11,12.95,13.17,12.61,12.87,12.87,292200
100,2016-01-12,13.17,13.77,12.5,13.6,13.6,756100
101,2016-01-13,13.7,13.78,13.0,13.2,13.2,418900
102,2016-01-14,13.18,13.19,12.67,12.77,12.77,391100
103,2016-01-15,12.53,12.75,12.18,12.73,12.73,303900
104,2016-01-19,12.76,13.4,12.38,12.7,12.7,295300
105,2016-01-20,12.51,12.7,11.918,12.35,12.35,308600
106,2016-01-21,12.48,12.93,12.41,12.59,12.59,317300
107,2016-01-22,12.73,12.87,12.56,12.74,12.74,197500
108,2016-01-25,12.65,12.835,12.54,12.71,12.71,174300
109,2016-01-26,12.74,12.96,12.32,12.78,12.78,177900
110,2016-01-27,12.73,12.89,11.98,12.42,12.42,295100
111,2016-01-28,12.45,12.57,12.01,12.28,12.28,253900
112,2016-01-29,12.31,13.11,12.06,13.11,13.11,329100
113,2016-02-01,13.11,13.26,12.6,12.77,12.77,232600
114,2016-02-02,12.69,12.95,12.63,12.86,12.86,154400
115,2016-02-03,12.91,13.05,12.54,13.04,13.04,197900
116,2016-02-04,12.86,12.99,12.3,12.37,12.37,158600
117,2016-02-05,12.36,12.78,11.73,11.77,11.77,202400
118,2016-02-08,11.57,11.68,11.21,11.25,11.25,236800
119,2016-02-09,11.11,11.72,11.11,11.35,11.35,182100
120,2016-02-10,11.45,11.84,11.33,11.48,11.48,110900
121,2016-02-11,11.36,11.57,11.25,11.4,11.4,126700
122,2016-02-12,11.65,11.86,11.31,11.81,11.81,278100
123,2016-02-16,11.94,12.39,11.94,12.35,12.35,222000
124,2016-02-17,12.38,12.45,12.07,12.25,12.25,119200
125,2016-02-18,12.24,12.51,11.99,12.29,12.29,215200
126,2016-02-19,12.26,12.6,12.0,12.2,12.2,228600
127,2016-02-22,12.22,12.41,12.18,12.29,12.29,112100
128,2016-02-23,12.3,12.43,12.0,12.24,12.24,136800
129,2016-02-24,12.09,12.81,12.07,12.78,12.78,143300
130,2016-02-25,12.78,12.86,12.54,12.76,12.76,93800
