,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,SRACU,08/17/20,,10.21,10.21,10.21,0,0.0,0.00%
1,SRACU,08/14/20,10.2,10.21,10.2,10.21,1000,0.09,0.89%
2,SRACU,08/12/20,,10.12,10.12,10.12,0,0.0,0.00%
3,SRACU,08/11/20,10.19,10.19,10.12,10.12,340,0.0,0.00%
4,SRACU,08/04/20,,10.12,10.12,10.12,0,-0.18,-1.75%
5,SRACU,07/31/20,,10.3,10.3,10.3,0,0.0,0.00%
6,SRACU,07/30/20,10.1,10.3,10.1,10.3,300,0.2,1.98%
7,SRACU,07/29/20,,10.1,10.1,10.1,90,0.0,0.00%
8,SRACU,07/28/20,10.1,10.1,10.1,10.1,250,0.0,0.00%
9,SRACU,07/27/20,10.1,10.1,10.1,10.1,102,-0.2,-1.94%
10,SRACU,07/23/20,,10.3,10.3,10.3,0,0.25,2.49%
11,SRACU,07/21/20,,10.05,10.05,10.05,0,-0.25,-2.43%
12,SRACU,07/20/20,10.11,10.3,10.11,10.3,250,0.19,1.92%
13,SRACU,07/14/20,,10.11,10.11,10.11,0,0.0,0.00%
14,SRACU,07/13/20,,10.11,10.11,10.11,1,0.0,0.00%
15,SRACU,07/09/20,,10.11,10.11,10.11,0,0.01,0.06%
16,SRACU,07/08/20,10.1,10.1,10.1,10.1,74070,0.0,0.00%
17,SRACU,07/02/20,,10.1,10.1,10.1,0,-0.15,-1.44%
18,SRACU,06/26/20,,10.25,10.25,10.25,0,0.09,0.91%
19,SRACU,06/23/20,,10.15,10.15,10.15,0,0.09,0.94%
20,SRACU,06/17/20,,10.06,10.06,10.06,0,0.0,0.00%
21,SRACU,06/16/20,10.06,10.06,10.06,10.06,465,0.16,1.62%
22,SRACU,06/15/20,,9.9,9.9,9.9,10,0.0,0.00%
23,SRACU,06/12/20,,9.9,9.9,9.9,95,0.0,0.00%
24,SRACU,06/05/20,,9.9,9.9,9.9,0,0.0,0.00%
25,SRACU,05/19/20,,9.9,9.9,9.9,0,0.0,0.00%
26,SRACU,05/18/20,9.9,9.9,9.9,9.9,1793,-0.04,-0.35%
27,SRACU,05/08/20,,9.935,9.935,9.935,0,0.0,0.00%
28,SRACU,05/06/20,,9.935,9.935,9.935,0,-0.01,-0.15%
