,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,SRGA,08/18/20,2.4,2.55,2.4,2.44,600787,0.0,0.00%
1,SRGA,08/17/20,2.52,2.57,2.38,2.44,833692,-0.09,-3.56%
2,SRGA,08/14/20,2.65,2.65,2.52,2.53,436100,-0.11,-4.17%
3,SRGA,08/13/20,2.66,2.74,2.62,2.64,217627,-0.04,-1.49%
4,SRGA,08/12/20,2.75,2.78,2.61,2.68,347849,-0.07,-2.55%
5,SRGA,08/11/20,2.85,2.93,2.71,2.75,351477,0.0,0.00%
6,SRGA,08/10/20,2.99,3.0,2.64,2.75,556515,-0.18,-6.14%
7,SRGA,08/07/20,2.76,2.99,2.76,2.93,503200,0.05,1.56%
8,SRGA,08/06/20,2.92,2.96,2.781,2.885,571335,-0.08,-2.53%
9,SRGA,08/05/20,3.0,3.08,2.94,2.96,493566,-0.01,-0.34%
10,SRGA,08/04/20,2.94,3.08,2.94,2.97,443357,0.02,0.68%
11,SRGA,08/03/20,2.88,2.97,2.76,2.95,495644,0.14,4.98%
12,SRGA,07/31/20,2.97,2.99,2.8,2.81,604400,-0.21,-6.95%
13,SRGA,07/30/20,2.92,3.07,2.91,3.02,1181339,0.04,1.34%
14,SRGA,07/29/20,2.81,3.01,2.8,2.98,509349,0.03,1.02%
15,SRGA,07/28/20,3.06,3.07,2.78,2.95,711581,-0.15,-4.84%
16,SRGA,07/27/20,3.12,3.14,2.94,3.1,547156,-0.03,-0.96%
17,SRGA,07/24/20,3.26,3.29,3.05,3.13,412900,-0.17,-5.15%
