,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,12.12,12.35,12.09,12.21,12.21,43800
1,2015-09-01,11.88,12.44,11.78,11.84,11.84,110000
2,2015-09-02,11.99,12.24,11.75,12.22,12.22,88200
3,2015-09-03,12.26,12.5,12.19,12.19,12.19,51800
4,2015-09-04,12.08,12.33,12.08,12.24,12.24,32300
5,2015-09-08,12.55,12.69,12.22,12.38,12.38,53500
6,2015-09-09,12.53,12.54,12.1,12.12,12.12,57200
7,2015-09-10,12.13,12.31,12.02,12.04,12.04,32900
8,2015-09-11,11.96,12.1,11.81,11.87,11.87,38700
9,2015-09-14,11.86,12.01,11.8,12.0,12.0,56300
10,2015-09-15,11.97,12.22,11.93,12.22,12.22,67200
11,2015-09-16,12.21,12.41,12.13,12.38,12.38,99200
12,2015-09-17,12.32,12.71,12.29,12.6,12.6,110300
13,2015-09-18,12.42,12.64,11.93,11.94,11.94,121100
14,2015-09-21,11.95,12.27,11.8,12.09,12.09,91300
15,2015-09-22,11.88,11.88,11.4,11.52,11.52,98400
16,2015-09-23,11.56,11.56,11.38,11.4,11.4,73000
17,2015-09-24,11.21,11.43,10.99,11.41,11.41,63600
18,2015-09-25,11.51,11.51,10.71,10.8,10.8,81000
19,2015-09-28,11.06,11.92,11.06,11.79,11.79,159900
20,2015-09-29,11.72,12.24,11.72,12.09,12.09,72800
21,2015-09-30,12.25,12.42,12.22,12.34,12.34,96500
22,2015-10-01,12.42,12.59,11.98,12.2,12.2,68000
23,2015-10-02,12.12,12.19,11.7,12.15,12.15,68700
24,2015-10-05,12.15,12.75,12.15,12.48,12.48,104900
25,2015-10-06,12.5,12.55,12.21,12.28,12.28,167900
26,2015-10-07,12.43,12.72,12.19,12.33,12.33,67000
27,2015-10-08,12.31,12.58,12.15,12.48,12.48,63300
28,2015-10-09,12.53,12.6,12.26,12.54,12.54,31900
29,2015-10-12,12.51,12.57,12.17,12.42,12.42,66400
30,2015-10-13,12.34,12.69,12.14,12.26,12.26,62400
31,2015-10-14,12.46,12.46,12.08,12.18,12.18,31200
32,2015-10-15,12.28,12.48,12.01,12.48,12.48,50500
