,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-08-08,10.0,10.01,9.98,10.0,10.0,7761320
1,2019-08-09,9.98,10.0,9.98,10.0,10.0,338060
2,2019-08-12,9.99,10.02,9.98,10.0,10.0,462787
3,2019-08-13,10.02,10.02,9.98,10.003,10.003,343038
4,2019-08-14,10.0016,10.01,9.98,10.0,10.0,313328
5,2019-08-15,10.05,10.05,9.99,10.03,10.03,35234
6,2019-08-16,10.0,10.02,10.0,10.01,10.01,142249
7,2019-08-19,10.01,10.03,9.99,10.01,10.01,9325
8,2019-08-20,10.005,10.005,10.005,10.005,10.005,10011
9,2019-08-21,10.01,10.01,10.0,10.0,10.0,45800
10,2019-08-22,10.01,10.05,10.01,10.03,10.03,108327
11,2019-08-23,10.02,10.03,10.02,10.02,10.02,16100
12,2019-08-26,10.005,10.01,10.005,10.01,10.01,4176
13,2019-08-27,10.02,10.03,10.02,10.02,10.02,13173
14,2019-08-28,10.02,10.02,10.02,10.02,10.02,0
15,2019-08-29,10.04,10.05,10.015,10.02,10.02,488057
16,2019-08-30,10.02,10.02,10.0,10.0,10.0,10219
17,2019-09-03,10.0,10.01,10.0,10.01,10.01,408057
18,2019-09-04,10.02,10.02,10.02,10.02,10.02,26000
19,2019-09-05,10.02,10.0211,10.02,10.02,10.02,232000
20,2019-09-06,10.02,10.02,10.02,10.02,10.02,3493
21,2019-09-09,10.02,10.05,10.015,10.02,10.02,179388
22,2019-09-10,9.99,10.04,9.99,10.04,10.04,199784
23,2019-09-11,10.02,10.03,10.02,10.03,10.03,31640
24,2019-09-12,10.02,10.02,10.01,10.01,10.01,1503
25,2019-09-13,10.06,10.06,10.02,10.0273,10.0273,2859
26,2019-09-16,10.06,10.06,10.01,10.01,10.01,3410
27,2019-09-17,10.02,10.0215,10.02,10.02,10.02,27965
28,2019-09-18,10.02,10.02,10.0,10.0,10.0,203100
29,2019-09-19,10.05,10.05,9.98,9.98,9.98,2700
30,2019-09-20,9.98,9.98,9.98,9.98,9.98,0
31,2019-09-23,10.02,10.02,10.0,10.0,10.0,3776
32,2019-09-24,10.03,10.0393,10.03,10.03,10.03,11723
33,2019-09-25,10.0251,10.0251,10.02,10.02,10.02,412
