,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-12-30,85.62,85.98,85.36,85.8,85.8,979866,0.0,1.0
1,2019-12-27,85.89,85.9437,85.545,85.74,85.74,1192237,0.0,1.0
2,2019-12-26,85.39,85.6547,85.23,85.54,85.54,1045435,0.0,1.0
3,2019-12-24,85.25,85.52,84.97,85.38,85.38,424892,0.0,1.0
4,2019-12-23,85.52,85.65,85.16,85.3,85.3,1460568,0.0,1.0
5,2019-12-20,84.98,85.46,84.49,85.44,85.44,3299061,0.0,1.0
6,2019-12-19,84.07,84.64,83.71,84.49,84.49,2031375,0.0,1.0
7,2019-12-18,84.35,84.66,83.94,84.07,84.07,3406704,0.0,1.0
8,2019-12-17,84.31,84.57,84.1,84.14,84.14,2221376,0.0,1.0
9,2019-12-16,83.81,84.31,83.38,84.23,84.23,1429281,0.0,1.0
10,2019-12-13,82.83,83.6,82.66,83.54,83.54,1808864,0.0,1.0
11,2019-12-12,83.3,83.77,82.89,83.27,83.27,1543797,0.0,1.0
12,2019-12-11,82.48,82.91,82.13,82.88,82.88,1506811,0.0,1.0
13,2019-12-10,83.13,83.38,82.5,82.53,82.53,1852377,0.0,1.0
14,2019-12-09,82.57,83.2299,82.48,83.13,83.13,1466581,0.0,1.0
15,2019-12-06,83.38,83.43,82.65,82.77,82.77,1656795,0.0,1.0
16,2019-12-05,82.08,82.99,81.89,82.97,82.97,2577607,0.0,1.0
17,2019-12-04,81.11,82.0,80.7413,81.99,81.99,2266102,0.0,1.0
18,2019-12-03,80.46,81.34,80.24,81.3,81.3,2816844,0.0,1.0
19,2019-12-02,80.49,80.84,79.86,80.82,80.82,1807493,0.0,1.0
20,2019-11-29,81.15,81.46,80.47,80.55,80.55,825201,0.0,1.0
21,2019-11-27,80.7,81.22,80.55,81.06,81.06,1239739,0.0,1.0
22,2019-11-26,80.12,80.7,79.75,80.65,80.65,2716443,0.0,1.0
23,2019-11-25,78.73,79.94,78.65,79.82,79.82,2170173,0.0,1.0
24,2019-11-22,79.31,79.375,78.63,79.06,79.06,1152332,0.0,1.0
25,2019-11-21,79.45,79.81,79.0,79.22,79.22,2451063,0.0,1.0
26,2019-11-20,80.27,80.62,79.528,79.82,79.82,2126509,0.0,1.0
27,2019-11-19,81.0,81.4111,80.19,80.29,80.29,2684669,0.0,1.0
28,2019-11-18,80.12,81.04,79.64,80.7,80.7,3514298,0.0,1.0
29,2019-11-15,81.85,81.9,81.14,81.61,81.61,3907144,0.0,1.0
30,2019-11-14,81.48,81.7,80.92,81.5,81.5,1868304,0.0,1.0
31,2019-11-13,80.13,81.31,80.13,81.22,81.22,1906409,0.0,1.0
32,2019-11-12,80.41,80.6,79.77,80.3,80.3,1314767,0.0,1.0
33,2019-11-11,80.25,80.56,79.835,80.15,80.15,1436807,0.0,1.0
34,2019-11-08,80.8,80.91,80.135,80.4,80.4,1753041,0.0,1.0
35,2019-11-07,80.89,81.3,80.69,80.9,80.9,1820987,0.0,1.0
36,2019-11-06,79.65,81.22,79.65,81.06,81.06,2130699,0.0,1.0
37,2019-11-05,80.84,81.24,79.88,80.08,80.08,2765274,0.0,1.0
38,2019-11-04,80.86,81.28,78.47,80.81,80.81,3423320,0.0,1.0
39,2019-11-01,80.0,81.6,79.94,81.28,81.28,3589906,0.0,1.0
40,2019-10-31,79.69,79.9,79.23,79.87,79.87,3394126,0.0,1.0
41,2019-10-30,79.24,79.67,78.91,79.65,79.65,1351594,0.0,1.0
42,2019-10-29,78.8,79.37,78.385,79.11,79.11,2023486,0.0,1.0
43,2019-10-28,79.19,79.47,78.6,78.86,78.86,1666271,0.0,1.0
44,2019-10-25,79.15,79.61,79.03,79.17,79.17,1675717,0.0,1.0
45,2019-10-24,78.84,79.135,78.34,78.95,78.95,2895984,0.0,1.0
46,2019-10-23,79.15,79.56,78.73,78.84,78.84,1529063,0.0,1.0
47,2019-10-22,79.6,79.7,78.93,79.0,79.0,1645442,0.0,1.0
48,2019-10-21,79.14,79.61,78.96,79.46,79.46,1426140,0.0,1.0
49,2019-10-18,79.19,79.6,78.98,79.14,79.14,1495056,0.0,1.0
50,2019-10-17,79.04,79.43,78.81,79.21,79.21,1919360,0.0,1.0
51,2019-10-16,78.95,79.54,78.75,78.91,78.91,3410744,0.0,1.0
52,2019-10-15,79.5,79.5,78.8207,79.08,79.08,1722215,0.0,1.0
53,2019-10-14,79.08,79.33,78.74,78.99,78.99,3740747,0.0,1.0
54,2019-10-11,78.48,79.35,78.36,78.87,78.87,3028747,0.0,1.0
