,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,122.97,123.67,120.38,120.66,120.66,1049242,0.0,1.0
1,2020-05-27,123.97,123.97,120.65,122.46,122.46,1085969,0.0,1.0
2,2020-05-26,119.07,121.33,117.49,120.05,120.05,1642353,0.0,1.0
3,2020-05-22,115.06,115.55,113.38,115.09,115.09,851942,0.0,1.0
4,2020-05-21,114.03,116.35,113.755,114.65,114.65,834578,0.0,1.0
5,2020-05-20,115.12,116.49,114.28,114.84,114.84,1172996,0.0,1.0
6,2020-05-19,116.57,118.345,114.11,114.19,114.19,1024296,0.0,1.0
7,2020-05-18,117.0,118.46,115.38,117.22,117.22,1348226,0.0,1.0
8,2020-05-15,111.32,113.63,110.69,113.51,113.51,1798817,0.0,1.0
9,2020-05-14,106.53,112.68,105.56,112.57,112.57,1741236,0.0,1.0
10,2020-05-13,113.28,114.03,106.775,107.94,107.94,2819710,0.0,1.0
11,2020-05-12,114.63,117.9299,112.298,112.75,112.75,2219581,0.0,1.0
12,2020-05-11,112.11,114.34,111.34,112.67,112.67,889450,0.0,1.0
13,2020-05-08,114.01,114.5,112.53,114.06,114.06,666791,0.0,1.0
14,2020-05-07,109.67,112.06,109.405,111.34,111.34,993027,0.0,1.0
15,2020-05-06,108.89,110.315,107.79,108.2,108.2,843979,0.0,1.0
16,2020-05-05,109.6,111.51,109.54,109.67,109.67,909466,0.0,1.0
17,2020-05-04,110.1,110.73,108.665,109.485,109.485,972096,0.0,1.0
18,2020-05-01,113.03,113.03,110.0,110.44,110.44,1110430,0.0,1.0
19,2020-04-30,114.34,117.5,114.34,115.63,115.63,1543326,0.0,1.0
20,2020-04-29,116.68,119.5,115.3,116.92,116.92,1531388,0.0,1.0
21,2020-04-28,110.0,115.05,109.23,113.89,113.89,2025363,0.0,1.0
22,2020-04-27,101.95,106.76,101.3607,106.5,106.5,1436684,0.0,1.0
23,2020-04-24,99.9,100.92,98.52,100.34,100.34,756056,0.0,1.0
24,2020-04-23,100.79,101.91,99.02,99.16,99.16,792315,0.0,1.0
25,2020-04-22,101.11,101.44,99.1,100.63,100.63,746963,0.0,1.0
26,2020-04-21,99.22,100.51,98.3,98.85,98.85,909920,0.0,1.0
27,2020-04-20,101.29,102.67,99.8,101.15,101.15,1199962,0.0,1.0
28,2020-04-17,103.19,104.3,102.015,103.49,103.49,2300100,0.0,1.0
29,2020-04-16,98.84,99.94,96.42,99.54,99.54,1904959,0.0,1.0
30,2020-04-15,100.9,100.9,97.99,98.98,98.98,1228756,0.0,1.0
31,2020-04-14,105.97,106.4,101.76,101.93,101.93,2505915,0.0,1.0
32,2020-04-13,106.9,106.9,100.15,102.24,102.24,1191989,0.0,1.0
33,2020-04-09,106.47,108.72,104.31,105.16,105.16,1772829,0.0,1.0
34,2020-04-08,102.07,106.0,100.57,105.51,105.51,1277996,0.0,1.0
35,2020-04-07,106.43,107.0,101.59,101.9,101.9,1419106,0.0,1.0
36,2020-04-06,100.28,103.44,97.79,102.7,102.7,1623947,0.0,1.0
37,2020-04-03,96.19,98.45,94.055,95.19,95.19,1159103,0.0,1.0
38,2020-04-02,92.98,97.95,92.7931,97.14,97.14,1421578,0.0,1.0
39,2020-04-01,93.65,96.08,92.36,93.87,93.87,2337488,0.0,1.0
40,2020-03-31,97.69,99.03,96.0,97.65,97.65,1796928,0.0,1.0
41,2020-03-30,97.84,100.33,95.72,98.83,98.83,1966356,0.0,1.0
42,2020-03-27,99.22,101.89,95.66,98.43,98.43,1625885,0.0,1.0
43,2020-03-26,94.72,102.03,93.01,101.34,101.34,2229902,0.0,1.0
44,2020-03-25,90.58,95.67,88.84,92.99,92.99,4559541,0.0,1.0
45,2020-03-24,90.15,93.03,87.49,89.5,89.5,3037211,0.0,1.0
46,2020-03-23,89.975,90.545,82.51,85.42,85.42,3411652,0.0,1.0
47,2020-03-20,102.4,102.4,90.0,90.34,90.34,3946689,0.0,1.0
48,2020-03-19,107.12,109.16,100.615,102.61,102.61,3098148,0.0,1.0
49,2020-03-18,101.55,109.535,98.61,108.41,108.41,3937207,0.0,1.0
50,2020-03-17,99.3,108.96,97.1,108.11,108.11,3420632,0.0,1.0
51,2020-03-16,91.84,108.55,88.3,97.55,97.55,3687442,0.0,1.0
52,2020-03-13,97.35,107.36,95.01,107.33,107.33,3063404,0.9,1.0
53,2020-03-12,97.08,100.81,91.68,91.73,90.9672,3494035,0.0,1.0
54,2020-03-11,109.08,110.15,103.97,105.52,104.6425,2359215,0.0,1.0
55,2020-03-10,108.13,113.73,106.2,112.79,111.8521,2795268,0.0,1.0
56,2020-03-09,106.15,110.81,103.5025,103.64,102.7782,3009096,0.0,1.0
57,2020-03-06,116.78,118.37,113.89,116.75,115.7792,2228735,0.0,1.0
58,2020-03-05,125.04,125.23,119.9595,122.01,120.9954,2083924,0.0,1.0
59,2020-03-04,125.36,128.94,124.035,128.76,127.6893,2005894,0.0,1.0
60,2020-03-03,124.4647,126.59,121.1,123.49,122.4631,2985902,0.0,1.0
61,2020-03-02,119.11,125.67,117.76,125.48,124.4366,2737047,0.0,1.0
62,2020-02-28,115.93,118.11,113.69,118.01,117.0287,3329692,0.0,1.0
63,2020-02-27,123.86,125.3,119.76,119.84,118.8435,2036102,0.0,1.0
64,2020-02-26,127.2,129.35,126.58,126.61,125.5572,1697208,0.0,1.0
65,2020-02-25,132.74,133.2,125.98,126.54,125.4877,1865959,0.0,1.0
66,2020-02-24,132.36,133.23,130.91,131.75,130.6544,1288842,0.0,1.0
67,2020-02-21,137.64,137.64,134.84,136.27,135.1368,1059010,0.0,1.0
68,2020-02-20,138.91,139.35,136.83,137.74,136.5946,1105068,0.0,1.0
69,2020-02-19,138.33,139.36,137.5,139.06,137.9036,866752,0.0,1.0
70,2020-02-18,137.4,138.195,136.635,137.78,136.6343,870701,0.0,1.0
71,2020-02-14,136.46,137.485,136.11,137.39,136.2475,713895,0.0,1.0
72,2020-02-13,138.01,138.01,136.13,136.42,135.2856,1258225,0.0,1.0
73,2020-02-12,138.87,139.5,137.12,138.48,137.3285,940296,0.0,1.0
74,2020-02-11,139.05,139.815,138.26,138.61,137.4574,751251,0.0,1.0
75,2020-02-10,138.0,138.796,137.41,138.48,137.3285,783067,0.0,1.0
76,2020-02-07,137.29,138.57,136.77,138.24,137.0904,729016,0.0,1.0
77,2020-02-06,138.2,139.47,136.945,137.77,136.6244,1058006,0.0,1.0
78,2020-02-05,138.98,138.99,135.69,137.94,136.7929,1172592,0.0,1.0
79,2020-02-04,136.5,137.9,135.7,136.81,135.6723,1122490,0.0,1.0
80,2020-02-03,134.28,136.0,133.15,134.52,133.4014,1477809,0.0,1.0
81,2020-01-31,136.25,136.34,133.09,133.53,132.4196,1954830,0.0,1.0
82,2020-01-30,132.4,136.65,132.28,136.57,135.4343,1521112,0.0,1.0
83,2020-01-29,134.15,137.485,132.5,136.12,134.9881,1782911,0.0,1.0
84,2020-01-28,130.09,131.94,129.07,131.3,130.2082,1336044,0.0,1.0
85,2020-01-27,130.02,130.6978,127.43,128.54,127.4711,1197425,0.0,1.0
86,2020-01-24,133.96,134.555,130.37,131.18,130.0892,1019888,0.0,1.0
87,2020-01-23,131.44,133.25,130.64,133.21,132.1023,1108414,0.0,1.0
88,2020-01-22,132.91,133.545,132.24,132.57,131.4676,1178132,0.0,1.0
89,2020-01-21,131.74,132.9223,131.6,132.3,131.1998,1491467,0.0,1.0
90,2020-01-17,132.49,132.755,131.59,132.26,131.1602,1418615,0.0,1.0
91,2020-01-16,131.02,132.04,130.74,132.02,130.9222,921932,0.0,1.0
92,2020-01-15,129.72,130.715,129.01,130.15,129.0677,663060,0.0,1.0
93,2020-01-14,131.04,131.25,129.42,129.73,128.6512,980790,0.0,1.0
94,2020-01-13,127.97,131.07,127.82,131.03,129.9404,1729812,0.0,1.0
95,2020-01-10,128.43,128.87,127.13,127.46,126.4001,955014,0.0,1.0
96,2020-01-09,127.69,128.48,126.83,128.28,127.2133,903172,0.0,1.0
97,2020-01-08,126.5,128.0,126.25,127.22,126.1621,751109,0.0,1.0
98,2020-01-07,125.42,126.67,125.245,126.02,124.9721,826735,0.0,1.0
99,2020-01-06,124.16,125.57,123.28,125.52,124.4762,771309,0.0,1.0
100,2020-01-03,123.9,125.54,123.105,124.75,123.7126,958779,0.0,1.0
101,2020-01-02,122.35,125.17,122.25,125.16,124.1192,1315972,0.0,1.0
102,2019-12-31,121.45,122.1699,120.93,121.84,120.8268,896312,0.0,1.0
103,2019-12-30,123.32,123.32,121.45,121.81,120.7971,614105,0.0,1.0
104,2019-12-27,123.0,123.24,122.55,122.82,121.7987,511084,0.0,1.0
105,2019-12-26,122.95,122.95,122.09,122.87,121.8483,310633,0.0,1.0
106,2019-12-24,121.99,122.43,121.19,122.2,121.1838,318852,0.0,1.0
107,2019-12-23,123.18,123.18,121.5,121.62,120.6087,675482,0.0,1.0
108,2019-12-20,123.86,123.86,121.85,122.54,121.521,2137077,0.0,1.0
109,2019-12-19,122.1,122.7,121.93,122.52,121.5012,852447,0.0,1.0
110,2019-12-18,123.2,123.62,121.91,122.4,121.3822,1015111,0.0,1.0
111,2019-12-17,123.31,123.71,122.74,123.02,121.997,913029,0.0,1.0
