,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,TRS,08/18/20,25.64,25.64,24.95,25.08,172032,-0.65,-2.53%
1,TRS,08/17/20,26.0,26.14,25.38,25.73,117617,-0.2,-0.77%
2,TRS,08/14/20,25.43,26.07,25.31,25.93,102400,0.25,0.97%
3,TRS,08/13/20,26.11,26.21,25.26,25.68,127328,-0.52,-1.98%
4,TRS,08/12/20,26.74,26.94,25.99,26.2,96116,-0.24,-0.91%
5,TRS,08/11/20,26.25,26.89,26.21,26.44,155551,0.5,1.93%
6,TRS,08/10/20,25.09,26.28,25.09,25.94,173473,0.86,3.43%
7,TRS,08/07/20,23.95,25.11,23.84,25.08,185600,0.98,4.07%
8,TRS,08/06/20,23.87,24.54,23.74,24.1,297092,0.32,1.35%
9,TRS,08/05/20,23.79,23.97,23.59,23.78,210869,0.15,0.63%
10,TRS,08/04/20,23.63,23.77,23.01,23.63,173706,-0.16,-0.67%
11,TRS,08/03/20,23.51,24.04,23.36,23.79,199366,0.39,1.67%
12,TRS,07/31/20,24.06,24.76,22.96,23.4,221600,-0.75,-3.11%
13,TRS,07/30/20,24.9,25.67,23.99,24.15,827974,-0.75,-3.01%
14,TRS,07/29/20,24.8,25.33,24.78,24.9,217996,0.19,0.77%
15,TRS,07/28/20,24.67,24.92,24.32,24.71,304922,-0.02,-0.08%
16,TRS,07/27/20,24.41,24.75,24.19,24.73,71316,0.28,1.15%
17,TRS,07/24/20,24.71,24.73,24.24,24.45,130200,-0.33,-1.33%
18,TRS,07/23/20,24.08,24.79,24.08,24.78,116528,0.63,2.61%
19,TRS,07/22/20,23.99,24.22,23.89,24.15,81297,-0.02,-0.06%
20,TRS,07/21/20,24.03,24.56,24.0,24.17,123472,0.38,1.58%
21,TRS,07/20/20,24.08,24.1,23.46,23.79,76169,-0.47,-1.94%
22,TRS,07/17/20,24.46,25.14,23.67,24.26,87200,-0.22,-0.90%
23,TRS,07/16/20,24.45,24.8,24.28,24.48,89260,-0.03,-0.12%
24,TRS,07/15/20,24.78,25.1,24.47,24.51,167308,0.28,1.16%
25,TRS,07/14/20,23.46,24.62,23.19,24.23,130039,0.77,3.28%
26,TRS,07/13/20,23.6,23.95,23.13,23.46,95300,0.2,0.86%
27,TRS,07/10/20,22.83,23.3,22.67,23.26,192000,0.48,2.11%
28,TRS,07/09/20,23.2,24.02,22.47,22.78,151916,-0.53,-2.27%
29,TRS,07/08/20,23.43,23.56,22.83,23.31,206969,-0.16,-0.68%
30,TRS,07/07/20,23.79,24.0,23.34,23.47,151713,-0.54,-2.25%
31,TRS,07/06/20,24.06,24.42,23.85,24.01,123631,0.41,1.74%
32,TRS,07/02/20,23.93,24.28,23.52,23.6,88400,0.17,0.73%
33,TRS,07/01/20,24.06,24.14,22.29,23.43,124790,-0.52,-2.17%
34,TRS,06/30/20,23.66,24.39,23.57,23.95,219927,0.14,0.59%
35,TRS,06/29/20,23.16,24.32,22.94,23.81,189373,1.12,4.94%
36,TRS,06/26/20,22.63,22.81,22.26,22.69,500300,0.06,0.27%
37,TRS,06/25/20,21.94,22.64,21.43,22.63,192370,0.59,2.68%
38,TRS,06/24/20,22.42,22.46,21.73,22.04,136868,-0.65,-2.86%
39,TRS,06/23/20,23.43,23.43,22.55,22.69,168805,-0.4,-1.75%
40,TRS,06/22/20,22.75,23.18,22.26,23.09,231960,0.14,0.63%
41,TRS,06/19/20,22.86,23.45,22.15,22.95,557500,0.35,1.55%
42,TRS,06/18/20,22.51,22.86,22.32,22.6,267574,-0.09,-0.40%
43,TRS,06/17/20,23.36,23.36,22.57,22.69,163914,-0.72,-3.08%
44,TRS,06/16/20,23.94,23.94,23.06,23.41,126822,0.33,1.43%
45,TRS,06/15/20,22.56,23.2,22.02,23.08,159283,-0.03,-0.13%
46,TRS,06/12/20,23.83,23.83,22.45,23.11,241200,0.26,1.14%
47,TRS,06/11/20,23.02,23.05,22.15,22.85,299095,-1.23,-5.11%
48,TRS,06/10/20,25.09,25.09,23.91,24.08,110184,-1.11,-4.41%
49,TRS,06/09/20,24.72,25.48,24.12,25.19,186158,-0.41,-1.60%
50,TRS,06/08/20,26.28,26.52,25.46,25.6,147216,-0.29,-1.14%
