,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,7.06,7.2,6.89,6.9,6.068357,659800
1,2015-08-21,6.76,6.98,6.63,6.78,5.962821,918100
2,2015-08-24,6.45,6.92,6.38,6.45,5.672594999999999,806400
3,2015-08-25,6.64,6.69,6.46,6.47,5.6901839999999995,909000
4,2015-08-26,6.59,6.74,6.43,6.61,5.8133099999999995,624400
5,2015-08-27,6.72,7.08,6.66,7.06,6.209073,900300
6,2015-08-28,7.03,7.52,6.93,7.39,6.4992980000000005,729400
7,2015-08-31,7.2,7.75,7.09,7.69,6.763139999999999,868600
8,2015-09-01,7.4,7.76,7.18,7.24,6.367376999999999,723400
9,2015-09-02,7.4,7.56,7.14,7.5,6.5960399999999995,840600
10,2015-09-03,7.42,7.62,7.27,7.38,6.4905040000000005,566700
11,2015-09-04,7.22,7.4,7.22,7.27,6.393762000000001,425400
12,2015-09-08,7.35,7.5,7.16,7.3,6.420146,629800
13,2015-09-09,7.35,7.69,7.05,7.16,6.29702,714600
14,2015-09-10,7.09,7.32,6.97,7.21,6.340993,390900
15,2015-09-11,7.06,7.17,6.84,6.95,6.11233,484600
16,2015-09-14,6.87,6.96,6.65,6.8,5.98041,340800
17,2015-09-15,6.77,7.08,6.77,6.91,6.077152,347400
18,2015-09-16,6.97,7.28,6.96,7.03,6.182688,526200
19,2015-09-17,7.0,7.31,6.89,7.01,6.165099,643900
20,2015-09-18,6.88,6.92,6.68,6.83,6.006794,1478700
21,2015-09-21,6.86,6.99,6.67,6.83,6.006794,605300
22,2015-09-22,6.72,6.94,6.64,6.75,5.9364360000000005,397700
23,2015-09-23,6.8,6.82,6.53,6.55,5.760542,385700
24,2015-09-24,6.51,6.67,6.42,6.56,5.769336,423000
25,2015-09-25,6.59,6.65,6.21,6.31,5.549469,641500
26,2015-09-28,6.29,6.3,6.08,6.09,5.3559849999999996,406700
27,2015-09-29,6.09,6.32,5.99,6.0,5.276832,553700
28,2015-09-30,6.04,6.08,5.74,5.91,5.19768,521000
29,2015-10-01,6.02,6.18,5.79,5.8,5.100937999999999,475300
30,2015-10-02,5.69,6.26,5.66,6.25,5.4967,420500
31,2015-10-05,6.32,6.56,6.19,6.49,5.707773,423400
32,2015-10-06,6.51,6.89,6.49,6.81,5.989204,512600
33,2015-10-07,6.92,7.13,6.51,6.72,5.910051999999999,692700
34,2015-10-08,6.72,7.03,6.58,6.99,6.14751,638600
35,2015-10-09,7.01,7.49,6.94,7.37,6.4817089999999995,759700
36,2015-10-12,7.39,7.39,6.63,6.97,6.129919999999999,541800
37,2015-10-13,6.88,7.24,6.85,6.95,6.11233,292900
38,2015-10-14,6.9,7.23,6.89,7.07,6.217867,561500
39,2015-10-15,7.05,7.33,6.93,7.32,6.437736,341100
40,2015-10-16,7.3,7.32,6.94,7.12,6.261841,437900
