,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,TTNP,08/18/20,0.2826,0.2849,0.27,0.2745,3680117,-0.01,-2.28%
1,TTNP,08/17/20,0.286,0.296,0.2754,0.2809,7942399,0.0,0.36%
2,TTNP,08/14/20,0.3061,0.3061,0.275,0.2799,6897900,-0.02,-6.70%
3,TTNP,08/13/20,0.3,0.3,0.29,0.3,3115055,0.0,0.67%
4,TTNP,08/12/20,0.3,0.31,0.29,0.298,3534833,0.0,0.74%
5,TTNP,08/11/20,0.3088,0.3095,0.29,0.2958,4334707,-0.01,-3.87%
6,TTNP,08/10/20,0.3035,0.3177,0.2965,0.3077,5151676,0.01,2.57%
7,TTNP,08/07/20,0.3,0.3004,0.2911,0.3,3136300,-0.0,-0.20%
8,TTNP,08/06/20,0.2998,0.3065,0.295,0.3006,3203952,0.0,0.27%
9,TTNP,08/05/20,0.3019,0.3075,0.295,0.2998,3175996,-0.01,-3.26%
10,TTNP,08/04/20,0.31,0.3145,0.3,0.3099,3616086,0.01,3.85%
11,TTNP,08/03/20,0.3,0.3098,0.291,0.2984,4020835,0.01,2.54%
12,TTNP,07/31/20,0.2985,0.3,0.286,0.291,3262300,-0.01,-2.02%
13,TTNP,07/30/20,0.3008,0.3008,0.292,0.297,2684016,-0.01,-2.46%
14,TTNP,07/29/20,0.3089,0.3089,0.2942,0.3045,3809489,-0.0,-1.30%
15,TTNP,07/28/20,0.313,0.3195,0.302,0.3085,3717788,-0.01,-2.16%
16,TTNP,07/27/20,0.315,0.339,0.3115,0.3153,6210200,0.0,1.22%
17,TTNP,07/24/20,0.31,0.3197,0.302,0.3115,3237100,-0.01,-2.66%
18,TTNP,07/23/20,0.33,0.33,0.31,0.32,5412778,-0.02,-5.88%
19,TTNP,07/22/20,0.36,0.36,0.31,0.34,10806371,-0.02,-5.42%
20,TTNP,07/21/20,0.34,0.36,0.3,0.3595,23574980,0.05,14.97%
21,TTNP,07/20/20,0.2952,0.32,0.291,0.3127,8933599,0.02,7.16%
22,TTNP,07/17/20,0.3,0.3,0.29,0.2918,3749500,-0.01,-3.06%
23,TTNP,07/16/20,0.286,0.3055,0.285,0.301,7127851,0.01,4.88%
24,TTNP,07/15/20,0.2818,0.2887,0.278,0.287,2725558,0.01,2.50%
25,TTNP,07/14/20,0.28,0.285,0.27,0.28,4031228,-0.01,-2.47%
26,TTNP,07/13/20,0.29,0.292,0.282,0.2871,4187178,-0.0,-1.68%
27,TTNP,07/10/20,0.29,0.2959,0.288,0.292,3101700,-0.0,-1.42%
28,TTNP,07/09/20,0.299,0.3,0.288,0.2962,3815061,-0.01,-1.86%
29,TTNP,07/08/20,0.3,0.305,0.292,0.3018,5006104,0.0,0.60%
30,TTNP,07/07/20,0.2965,0.305,0.292,0.3,4307736,0.0,0.00%
31,TTNP,07/06/20,0.2988,0.3049,0.29,0.3,5677658,0.0,0.20%
32,TTNP,07/02/20,0.295,0.3155,0.28,0.2994,8767900,0.01,3.24%
33,TTNP,07/01/20,0.29,0.31,0.29,0.29,6188233,-0.02,-5.29%
34,TTNP,06/30/20,0.309,0.3149,0.28,0.3062,12475972,-0.02,-5.49%
35,TTNP,06/29/20,0.32,0.335,0.3115,0.324,8239032,-0.01,-4.40%
36,TTNP,06/26/20,0.335,0.3396,0.307,0.3389,13489700,-0.01,-3.17%
37,TTNP,06/25/20,0.4,0.4,0.33,0.35,22723156,-0.06,-14.63%
38,TTNP,06/24/20,0.35,0.44,0.34,0.41,88553156,0.08,24.39%
39,TTNP,06/23/20,0.3291,0.339,0.3115,0.3296,5900257,-0.0,-0.12%
40,TTNP,06/22/20,0.31,0.33,0.31,0.33,5941401,0.02,6.55%
41,TTNP,06/19/20,0.31,0.339,0.3,0.3097,8554700,-0.01,-2.46%
42,TTNP,06/18/20,0.31,0.3255,0.305,0.3175,4755133,-0.0,-0.78%
43,TTNP,06/17/20,0.33,0.34,0.31,0.32,5847404,-0.02,-6.68%
44,TTNP,06/16/20,0.3523,0.366,0.3333,0.3429,10864840,0.01,3.50%
45,TTNP,06/15/20,0.31,0.3313,0.277,0.3313,8484864,-0.0,-0.09%
46,TTNP,06/12/20,0.3368,0.3599,0.32,0.3316,6926500,0.01,4.28%
47,TTNP,06/11/20,0.3477,0.3599,0.3041,0.318,13822892,-0.06,-16.32%
48,TTNP,06/10/20,0.42,0.4688,0.37,0.38,21799755,-0.04,-9.52%
49,TTNP,06/09/20,0.364,0.444,0.3445,0.42,46823672,0.07,18.31%
50,TTNP,06/08/20,0.35,0.37,0.342,0.355,14597476,0.01,2.90%
51,TTNP,06/05/20,0.39,0.4392,0.3411,0.345,40993600,-0.02,-4.17%
52,TTNP,06/04/20,0.294,0.379,0.2857,0.36,61455769,0.09,32.60%
53,TTNP,06/03/20,0.2777,0.2798,0.27,0.2715,6098850,-0.01,-1.84%
54,TTNP,06/02/20,0.275,0.285,0.2681,0.2766,5539065,0.0,0.58%
55,TTNP,06/01/20,0.2802,0.283,0.2597,0.275,6230748,-0.01,-2.93%
56,TTNP,05/29/20,0.281,0.288,0.2725,0.2833,7618300,-0.0,-1.29%
57,TTNP,05/28/20,0.304,0.304,0.2825,0.287,6647882,-0.01,-3.98%
58,TTNP,05/27/20,0.29,0.307,0.2715,0.2989,16099128,0.01,4.15%
59,TTNP,05/26/20,0.2757,0.299,0.27,0.287,8754341,0.01,2.14%
60,TTNP,05/22/20,0.2646,0.289,0.264,0.281,19044500,0.02,8.08%
61,TTNP,05/21/20,0.27,0.27,0.26,0.26,4862970,-0.01,-2.80%
62,TTNP,05/20/20,0.2665,0.27,0.257,0.2675,7358845,0.01,2.88%
63,TTNP,05/19/20,0.27,0.27,0.26,0.26,6252354,-0.01,-3.70%
64,TTNP,05/18/20,0.25,0.28,0.25,0.27,11794921,-0.01,-1.82%
65,TTNP,05/15/20,0.3275,0.339,0.255,0.275,36856500,-0.07,-19.12%
66,TTNP,05/14/20,0.32,0.34,0.31,0.34,11508569,0.02,6.92%
67,TTNP,05/13/20,0.33,0.335,0.295,0.318,9661837,-0.03,-7.83%
68,TTNP,05/12/20,0.34,0.355,0.325,0.345,14766434,0.02,7.81%
69,TTNP,05/11/20,0.3033,0.33,0.285,0.32,12202754,0.02,4.92%
70,TTNP,05/08/20,0.32,0.32,0.2906,0.305,11053101,-0.01,-4.33%
71,TTNP,05/07/20,0.36,0.418,0.31,0.3188,66396869,0.03,11.08%
72,TTNP,05/06/20,0.3,0.324,0.2663,0.287,12565902,-0.02,-6.97%
73,TTNP,05/05/20,0.248,0.3282,0.248,0.3085,40300744,0.05,21.46%
74,TTNP,05/04/20,0.2462,0.2549,0.24,0.254,2635336,0.0,1.60%
75,TTNP,05/01/20,0.25,0.2547,0.238,0.25,3995800,-0.01,-3.29%
76,TTNP,04/30/20,0.27,0.272,0.2477,0.2585,5239919,-0.0,-0.58%
77,TTNP,04/29/20,0.26,0.27,0.25,0.26,8934644,0.01,2.93%
78,TTNP,04/28/20,0.2478,0.263,0.241,0.2526,4327229,0.0,1.04%
79,TTNP,04/27/20,0.24,0.25,0.23,0.25,5226511,0.01,6.20%
80,TTNP,04/24/20,0.229,0.2518,0.2252,0.2354,7300300,0.0,2.04%
81,TTNP,04/23/20,0.23,0.237,0.2255,0.2307,2719065,0.0,0.30%
82,TTNP,04/22/20,0.226,0.237,0.226,0.23,2701099,-0.0,-1.58%
83,TTNP,04/21/20,0.2286,0.2375,0.225,0.2337,3115900,-0.0,-1.60%
84,TTNP,04/20/20,0.2465,0.2465,0.23,0.2375,3839323,-0.01,-2.06%
85,TTNP,04/17/20,0.24,0.255,0.23,0.2425,6309100,0.01,3.19%
86,TTNP,04/16/20,0.246,0.2544,0.2299,0.235,5807579,-0.0,-1.67%
87,TTNP,04/15/20,0.2278,0.245,0.221,0.239,5285216,0.01,4.60%
88,TTNP,04/14/20,0.222,0.238,0.2111,0.2285,4781465,0.01,4.20%
89,TTNP,04/13/20,0.2238,0.2238,0.216,0.2193,3566680,0.0,0.14%
90,TTNP,04/09/20,0.22,0.2247,0.2155,0.219,3626600,-0.0,-0.45%
91,TTNP,04/08/20,0.22,0.22,0.22,0.22,3833042,0.0,0.00%
92,TTNP,04/07/20,0.23,0.23,0.22,0.22,2864215,-0.01,-3.08%
93,TTNP,04/06/20,0.225,0.2295,0.209,0.227,3271004,0.01,3.75%
