,Date,Open,High,Low,Close,Adj Close,Volume
0,1983-03-16,0.0,3.25,3.125,3.125,1.86158,38500
1,1983-03-17,0.0,2.875,2.75,2.75,1.638191,76800
2,1983-03-18,0.0,2.875,2.75,2.75,1.638191,15800
3,1983-03-21,0.0,2.875,2.75,2.75,1.638191,20200
4,1983-03-22,0.0,3.25,3.125,3.125,1.86158,90700
5,1983-03-23,0.0,3.375,3.25,3.25,1.9360439999999999,79600
6,1983-03-24,0.0,3.25,3.125,3.125,1.86158,30600
7,1983-03-25,0.0,3.25,3.125,3.125,1.86158,27600
8,1983-03-28,0.0,3.25,3.125,3.125,1.86158,52500
9,1983-03-29,0.0,3.125,3.0,3.0,1.7871169999999998,14500
10,1983-03-30,0.0,3.125,3.0,3.0,1.7871169999999998,29000
11,1983-03-31,0.0,4.0,3.75,3.75,2.233896,110000
12,1983-04-04,0.0,3.875,3.625,3.625,2.1594330000000004,159400
13,1983-04-05,0.0,3.875,3.5,3.5,2.08497,28500
14,1983-04-06,0.0,3.75,3.5,3.5,2.08497,5400
15,1983-04-07,0.0,3.875,3.75,3.75,2.233896,41700
16,1983-04-08,0.0,3.875,3.625,3.625,2.1594330000000004,20100
17,1983-04-11,0.0,3.75,3.5,3.5,2.08497,9200
18,1983-04-12,0.0,4.0,3.75,3.75,2.233896,50700
19,1983-04-13,0.0,4.0,3.75,3.75,2.233896,16900
20,1983-04-14,0.0,4.25,4.125,4.125,2.457286,28400
21,1983-04-15,0.0,4.375,4.25,4.25,2.531749,55800
22,1983-04-18,0.0,4.125,4.0,4.0,2.382823,7500
23,1983-04-19,0.0,4.125,3.875,3.875,2.30836,6100
24,1983-04-20,0.0,4.0,3.75,3.75,2.233896,14400
25,1983-04-21,0.0,4.0,3.75,3.75,2.233896,7500
26,1983-04-22,0.0,3.875,3.75,3.75,2.233896,13300
27,1983-04-25,0.0,4.0,3.75,3.75,2.233896,10400
28,1983-04-26,0.0,4.0,3.75,3.75,2.233896,2600
29,1983-04-27,0.0,4.5,4.25,4.25,2.531749,65600
30,1983-04-28,0.0,5.0,4.75,4.75,2.829602,29800
31,1983-04-29,0.0,5.75,5.5,5.5,3.276381,64900
32,1983-05-02,0.0,5.375,5.125,5.125,3.0529919999999997,52900
33,1983-05-03,0.0,5.25,5.0,5.0,2.978529,9400
34,1983-05-04,0.0,5.5,5.25,5.25,3.127455,12200
35,1983-05-05,0.0,5.75,5.5,5.5,3.276381,28600
36,1983-05-06,0.0,5.75,5.5,5.5,3.276381,38900
37,1983-05-09,0.0,5.625,5.5,5.5,3.276381,22600
38,1983-05-10,0.0,6.0,5.75,5.75,3.4253080000000002,12900
39,1983-05-11,0.0,6.5,6.375,6.375,3.797624,30400
40,1983-05-12,0.0,7.5,7.25,7.25,4.318867,73300
41,1983-05-13,0.0,7.375,7.25,7.25,4.318867,71300
42,1983-05-16,0.0,6.75,6.625,6.625,3.9465510000000004,15200
