,Date,Open,High,Low,Close,Adj Close,Volume
0,1985-02-20,1.125,1.5,1.125,1.125,0.13848,500
1,1985-02-21,1.125,1.125,1.125,1.125,0.13848,0
2,1985-02-22,1.125,1.125,1.125,1.125,0.13848,0
3,1985-02-25,1.125,1.5,1.125,1.125,0.13848,1000
4,1985-02-26,1.125,1.125,1.125,1.125,0.13848,0
5,1985-02-27,1.125,1.125,1.125,1.125,0.13848,0
6,1985-02-28,1.125,1.125,1.125,1.125,0.13848,0
7,1985-03-01,1.125,1.125,1.125,1.125,0.13848,0
8,1985-03-04,1.375,1.875,1.375,1.375,0.169253,2000
9,1985-03-05,1.375,1.375,1.375,1.375,0.169253,0
10,1985-03-06,1.375,1.875,1.375,1.375,0.169253,0
11,1985-03-07,1.375,1.875,1.375,1.375,0.169253,1000
12,1985-03-08,1.375,1.375,1.375,1.375,0.169253,0
13,1985-03-11,1.375,1.375,1.375,1.375,0.169253,0
14,1985-03-12,1.375,1.375,1.375,1.375,0.169253,0
15,1985-03-13,1.375,1.375,1.375,1.375,0.169253,0
16,1985-03-14,1.375,1.375,1.375,1.375,0.169253,0
17,1985-03-15,1.375,1.375,1.375,1.375,0.169253,0
18,1985-03-18,1.375,1.375,1.375,1.375,0.169253,0
19,1985-03-19,1.375,1.375,1.375,1.375,0.169253,0
20,1985-03-20,1.375,1.375,1.375,1.375,0.169253,0
21,1985-03-21,1.5,1.875,1.5,1.5,0.18464,3000
22,1985-03-22,1.5,1.5,1.5,1.5,0.18464,0
23,1985-03-25,1.5,1.5,1.5,1.5,0.18464,0
24,1985-03-26,1.5,1.875,1.5,1.5,0.18464,100
25,1985-03-27,1.5,1.5,1.5,1.5,0.18464,0
26,1985-03-28,1.5,1.875,1.5,1.5,0.18464,3000
27,1985-03-29,1.5,1.875,1.5,1.5,0.18464,3000
28,1985-04-01,1.5,1.875,1.5,1.5,0.18464,2000
29,1985-04-02,1.5,1.5,1.5,1.5,0.18464,0
