,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,9.5,9.6,9.5,9.6,9.6,1800
1,2015-09-01,9.6,9.6,9.6,9.6,9.6,900
2,2015-09-02,9.6,10.0,9.56,10.0,10.0,1600
3,2015-09-03,9.95,9.95,9.53,9.9,9.9,2400
4,2015-09-04,9.9,9.9,9.69,9.89,9.89,1500
5,2015-09-08,9.87,10.0,9.74,10.0,10.0,4400
6,2015-09-09,9.22,10.39,9.22,10.39,10.39,3500
7,2015-09-10,10.39,11.47,10.31,11.29,11.29,2500
8,2015-09-11,11.24,13.76,11.24,13.76,13.76,2500
9,2015-09-14,13.26,13.26,11.02,12.43,12.43,7300
10,2015-09-15,12.0,12.0,11.97,12.0,12.0,3200
11,2015-09-16,11.99,12.0,11.94,12.0,12.0,2200
12,2015-09-17,12.0,12.0,11.95,11.95,11.95,2000
13,2015-09-18,12.0,12.0,10.33,10.33,10.33,6600
14,2015-09-21,10.74,11.89,10.74,11.85,11.85,1900
15,2015-09-22,11.85,11.85,11.85,11.85,11.85,0
16,2015-09-23,11.9,11.9,11.78,11.78,11.78,500
17,2015-09-24,10.63,10.63,10.63,10.63,10.63,400
18,2015-09-25,10.96,11.9,10.55,10.55,10.55,8200
19,2015-09-28,10.55,10.55,10.55,10.55,10.55,0
20,2015-09-29,10.61,10.83,10.55,10.64,10.64,900
21,2015-09-30,10.59,10.59,10.58,10.58,10.58,300
22,2015-10-01,10.58,10.58,10.58,10.58,10.58,0
23,2015-10-02,10.58,10.58,10.58,10.58,10.58,0
24,2015-10-05,10.25,10.56,10.25,10.56,10.56,900
25,2015-10-06,10.56,10.56,10.56,10.56,10.56,0
26,2015-10-07,10.32,10.32,10.32,10.32,10.32,200
27,2015-10-08,10.4,10.56,10.4,10.56,10.56,400
28,2015-10-09,10.56,10.56,10.56,10.56,10.56,300
29,2015-10-12,10.55,10.56,10.35,10.35,10.35,400
30,2015-10-13,10.35,10.35,10.35,10.35,10.35,0
31,2015-10-14,10.3,10.3,10.3,10.3,10.3,500
32,2015-10-15,10.82,10.82,10.82,10.82,10.82,400
33,2015-10-16,10.82,10.82,10.82,10.82,10.82,0
34,2015-10-19,10.82,10.82,10.82,10.82,10.82,0
35,2015-10-20,10.82,10.82,10.82,10.82,10.82,0
36,2015-10-21,10.82,10.82,10.82,10.82,10.82,0
37,2015-10-22,10.32,10.32,10.32,10.32,10.32,200
38,2015-10-23,10.36,10.36,10.3,10.3,10.3,400
39,2015-10-26,10.35,10.35,9.58,9.58,9.58,4100
40,2015-10-27,9.58,9.58,9.58,9.58,9.58,0
41,2015-10-28,9.58,9.65,9.42,9.56,9.56,14700
42,2015-10-29,9.52,9.74,9.52,9.56,9.56,5800
43,2015-10-30,9.8,9.8,9.8,9.8,9.8,900
44,2015-11-02,9.8,9.8,9.8,9.8,9.8,0
45,2015-11-03,9.8,9.8,9.8,9.8,9.8,0
46,2015-11-04,9.8,9.8,9.8,9.8,9.8,0
47,2015-11-05,9.8,9.8,9.8,9.8,9.8,0
48,2015-11-06,9.65,9.65,9.65,9.65,9.65,200
49,2015-11-09,9.65,9.65,9.65,9.65,9.65,0
50,2015-11-10,9.65,9.65,9.65,9.65,9.65,0
51,2015-11-11,9.65,9.65,9.65,9.65,9.65,0
52,2015-11-12,9.82,10.04,9.68,9.73,9.73,6200
53,2015-11-13,9.6,9.66,9.58,9.66,9.66,700
