,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,USCR,08/18/20,28.85,29.39,28.33,28.57,222713,-0.23,-0.80%
1,USCR,08/17/20,29.82,29.9,28.59,28.8,279457,-1.03,-3.45%
2,USCR,08/14/20,29.46,30.19,29.28,29.83,158000,0.1,0.34%
3,USCR,08/13/20,29.32,29.92,28.98,29.73,206175,0.21,0.71%
4,USCR,08/12/20,30.6,30.86,29.23,29.52,277166,-0.46,-1.53%
5,USCR,08/11/20,30.19,30.88,29.84,29.98,369770,0.53,1.80%
6,USCR,08/10/20,28.89,30.3,28.65,29.45,483545,0.98,3.44%
7,USCR,08/07/20,27.29,28.48,27.28,28.47,212500,1.09,3.98%
8,USCR,08/06/20,28.07,28.58,27.09,27.38,297120,-0.77,-2.74%
9,USCR,08/05/20,27.19,28.46,27.06,28.15,398441,1.64,6.19%
10,USCR,08/04/20,27.0,27.57,25.48,26.51,611649,0.95,3.72%
11,USCR,08/03/20,24.86,25.89,24.01,25.56,259705,0.74,2.98%
12,USCR,07/31/20,25.47,25.5,23.83,24.82,290400,-0.72,-2.82%
13,USCR,07/30/20,25.71,25.84,24.81,25.54,185438,-0.7,-2.67%
14,USCR,07/29/20,25.54,26.38,25.21,26.24,282232,1.06,4.21%
15,USCR,07/28/20,27.11,27.21,25.17,25.18,373591,-2.25,-8.20%
16,USCR,07/27/20,26.55,27.44,26.43,27.43,198257,0.83,3.12%
17,USCR,07/24/20,26.79,26.94,26.26,26.6,149900,-0.24,-0.89%
18,USCR,07/23/20,25.77,27.35,25.77,26.84,385546,0.81,3.11%
19,USCR,07/22/20,26.29,27.37,25.76,26.03,334281,-0.45,-1.70%
20,USCR,07/21/20,26.38,27.21,25.74,26.48,379028,0.49,1.89%
21,USCR,07/20/20,26.43,26.52,25.64,25.99,211601,-0.49,-1.85%
22,USCR,07/17/20,26.74,27.18,26.29,26.48,222100,-0.32,-1.19%
23,USCR,07/16/20,26.17,26.89,25.53,26.8,292598,0.33,1.25%
24,USCR,07/15/20,25.97,26.72,25.52,26.47,576654,1.47,5.88%
25,USCR,07/14/20,23.97,25.01,23.25,25.0,479221,1.02,4.25%
26,USCR,07/13/20,24.88,25.33,23.96,23.98,306744,-0.23,-0.95%
27,USCR,07/10/20,23.34,24.42,23.1,24.21,264700,0.89,3.82%
28,USCR,07/09/20,24.6,24.94,22.7,23.32,352025,-1.09,-4.47%
29,USCR,07/08/20,23.46,24.5,23.0,24.41,527532,0.95,4.05%
30,USCR,07/07/20,24.16,24.4,23.4,23.46,275732,-1.22,-4.94%
31,USCR,07/06/20,25.2,25.51,24.11,24.68,345019,0.36,1.48%
32,USCR,07/02/20,23.85,24.69,23.24,24.32,474900,1.59,7.00%
33,USCR,07/01/20,24.84,25.39,22.44,22.73,599845,-2.07,-8.35%
34,USCR,06/30/20,24.27,24.98,23.56,24.8,960775,0.3,1.22%
35,USCR,06/29/20,23.25,25.06,23.23,24.5,599639,1.04,4.43%
36,USCR,06/26/20,24.05,24.05,22.77,23.46,1265200,-1.01,-4.13%
37,USCR,06/25/20,22.99,24.54,22.91,24.47,383543,0.95,4.04%
38,USCR,06/24/20,25.51,26.13,23.31,23.52,819342,-2.7,-10.30%
39,USCR,06/23/20,26.52,26.64,25.66,26.22,806105,0.51,1.98%
40,USCR,06/22/20,25.63,26.34,25.11,25.71,400638,-0.38,-1.46%
41,USCR,06/19/20,27.39,27.39,25.7,26.09,577200,-0.55,-2.06%
42,USCR,06/18/20,25.33,27.48,25.31,26.64,625940,0.93,3.62%
43,USCR,06/17/20,26.9,27.95,25.46,25.71,871171,-2.62,-9.25%
44,USCR,06/16/20,26.87,28.53,26.22,28.33,1880271,5.22,22.59%
45,USCR,06/15/20,21.61,23.6,21.04,23.11,328743,0.1,0.43%
46,USCR,06/12/20,22.26,23.1,21.45,23.01,383800,2.19,10.52%
47,USCR,06/11/20,21.77,22.83,20.77,20.82,549966,-2.93,-12.34%
48,USCR,06/10/20,25.34,25.39,23.12,23.75,468002,-1.83,-7.15%
49,USCR,06/09/20,26.28,26.45,24.91,25.58,429409,-1.73,-6.33%
50,USCR,06/08/20,28.01,29.21,27.16,27.31,553428,0.35,1.30%
51,USCR,06/05/20,27.95,29.0,26.74,26.96,639900,0.77,2.94%
52,USCR,06/04/20,24.1,26.41,23.76,26.19,764976,1.74,7.12%
53,USCR,06/03/20,23.0,24.77,22.5,24.45,606156,2.17,9.74%
54,USCR,06/02/20,21.55,22.78,21.47,22.28,434011,1.0,4.70%
55,USCR,06/01/20,21.44,22.12,20.65,21.28,891067,0.42,2.01%
56,USCR,05/29/20,20.1,21.58,19.76,20.86,489300,0.5,2.46%
57,USCR,05/28/20,23.0,23.19,19.99,20.36,978515,-2.02,-9.03%
58,USCR,05/27/20,20.0,22.45,19.51,22.38,1229931,3.04,15.72%
59,USCR,05/26/20,18.27,19.67,18.26,19.34,747695,1.56,8.77%
60,USCR,05/22/20,18.77,18.77,17.67,17.78,513100,-0.72,-3.89%
61,USCR,05/21/20,18.53,19.2,18.19,18.5,507918,-0.07,-0.38%
62,USCR,05/20/20,18.02,18.94,18.02,18.57,314315,0.86,4.86%
63,USCR,05/19/20,18.26,18.61,17.57,17.71,431565,-0.7,-3.80%
64,USCR,05/18/20,17.6,18.66,17.42,18.41,723830,1.6,9.52%
65,USCR,05/15/20,16.64,17.26,16.39,16.81,271500,0.0,0.00%
66,USCR,05/14/20,15.41,16.92,14.77,16.81,654464,0.95,5.99%
67,USCR,05/13/20,16.17,16.29,15.42,15.86,417334,-0.54,-3.29%
68,USCR,05/12/20,17.74,18.05,16.36,16.4,583145,-1.23,-6.98%
69,USCR,05/11/20,17.67,18.35,17.02,17.63,450352,-0.52,-2.87%
70,USCR,05/08/20,18.15,18.49,17.6,18.15,575300,0.58,3.30%
71,USCR,05/07/20,17.15,18.34,17.15,17.57,479815,0.72,4.27%
72,USCR,05/06/20,18.92,19.16,16.6,16.85,569997,-1.76,-9.46%
73,USCR,05/05/20,18.65,19.45,17.9,18.61,573864,0.87,4.90%
74,USCR,05/04/20,16.97,17.91,16.28,17.74,376356,0.34,1.95%
75,USCR,05/01/20,18.45,18.6,16.53,17.4,640000,-1.78,-9.28%
76,USCR,04/30/20,19.32,19.62,18.43,19.18,476970,-0.5,-2.54%
77,USCR,04/29/20,19.24,20.08,18.8,19.68,662890,1.31,7.13%
78,USCR,04/28/20,17.93,19.13,17.93,18.37,651860,0.6,3.38%
79,USCR,04/27/20,16.26,18.13,16.2,17.77,946814,1.85,11.62%
80,USCR,04/24/20,15.52,16.21,15.31,15.92,404800,0.58,3.78%
81,USCR,04/23/20,15.67,15.94,15.03,15.34,590965,0.01,0.07%
82,USCR,04/22/20,15.81,16.25,15.07,15.33,373903,0.16,1.05%
83,USCR,04/21/20,15.07,15.65,14.5,15.17,896570,-0.75,-4.71%
84,USCR,04/20/20,15.75,16.78,15.02,15.92,554185,-0.94,-5.58%
85,USCR,04/17/20,17.17,17.99,16.62,16.86,408800,0.65,4.01%
86,USCR,04/16/20,17.27,17.5,15.5,16.21,566497,-1.1,-6.35%
87,USCR,04/15/20,17.99,18.45,16.9,17.31,460956,-1.5,-7.97%
88,USCR,04/14/20,18.7,19.66,18.19,18.81,444808,0.63,3.47%
89,USCR,04/13/20,20.0,20.26,17.64,18.18,644716,-1.32,-6.77%
90,USCR,04/09/20,19.22,21.06,18.62,19.5,691100,1.5,8.33%
91,USCR,04/08/20,16.02,18.8,15.77,18.0,879527,2.48,15.98%
92,USCR,04/07/20,16.8,18.41,15.2,15.52,1280695,-0.99,-6.00%
93,USCR,04/06/20,14.82,16.73,14.82,16.51,408133,2.35,16.60%
94,USCR,04/03/20,15.19,15.36,13.66,14.16,1005800,-1.06,-6.96%
95,USCR,04/02/20,16.27,17.08,14.87,15.22,466553,-1.04,-6.40%
96,USCR,04/01/20,17.24,17.78,15.93,16.26,818280,-1.88,-10.36%
97,USCR,03/31/20,14.85,18.44,14.44,18.14,1213796,3.35,22.65%
98,USCR,03/30/20,14.98,15.82,13.72,14.79,316570,0.16,1.09%
99,USCR,03/27/20,15.51,15.88,14.43,14.63,524700,-1.57,-9.69%
100,USCR,03/26/20,15.37,16.66,14.78,16.2,454244,1.18,7.86%
101,USCR,03/25/20,15.71,15.99,14.0,15.02,621216,0.32,2.18%
