,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,USFD,08/18/20,24.42,24.69,23.9,24.09,1945156,-0.28,-1.15%
1,USFD,08/17/20,24.4,24.61,23.83,24.37,2387860,0.07,0.29%
2,USFD,08/14/20,23.89,24.57,23.78,24.3,972400,0.14,0.58%
3,USFD,08/13/20,23.85,24.2,23.58,24.16,1511511,0.15,0.62%
4,USFD,08/12/20,24.61,24.78,23.84,24.01,1979961,-0.47,-1.92%
5,USFD,08/11/20,24.29,25.04,24.18,24.48,4758766,0.63,2.64%
6,USFD,08/10/20,23.4,24.03,23.34,23.85,3133600,0.61,2.62%
7,USFD,08/07/20,22.51,23.45,22.31,23.24,2577800,0.55,2.42%
8,USFD,08/06/20,21.95,22.86,21.87,22.69,2606531,0.74,3.37%
9,USFD,08/05/20,22.01,22.45,21.52,21.95,2733531,0.27,1.25%
10,USFD,08/04/20,20.58,21.95,20.2,21.68,4297829,1.56,7.75%
11,USFD,08/03/20,20.25,20.41,19.42,20.12,3676190,-0.18,-0.89%
12,USFD,07/31/20,20.16,20.61,20.05,20.3,2454700,0.03,0.15%
13,USFD,07/30/20,20.41,20.59,20.12,20.27,1449406,-0.6,-2.87%
14,USFD,07/29/20,20.44,20.88,20.02,20.87,3432777,0.53,2.61%
15,USFD,07/28/20,20.6,20.95,20.3,20.34,1908454,-0.41,-1.98%
16,USFD,07/27/20,20.93,21.04,20.39,20.75,1710057,-0.21,-1.00%
17,USFD,07/24/20,20.9,21.27,20.68,20.96,2058900,0.0,0.00%
18,USFD,07/23/20,21.53,21.69,20.58,20.96,4041749,-0.72,-3.32%
19,USFD,07/22/20,21.28,21.98,20.96,21.68,2013044,0.36,1.69%
20,USFD,07/21/20,20.8,21.61,20.8,21.32,2030697,0.41,1.96%
21,USFD,07/20/20,21.02,22.04,20.69,20.91,3796038,-0.25,-1.18%
22,USFD,07/17/20,21.37,21.49,20.85,21.16,3332800,0.08,0.38%
23,USFD,07/16/20,21.16,21.58,20.88,21.08,2334472,-0.38,-1.77%
24,USFD,07/15/20,20.26,21.5,19.88,21.46,7347330,1.74,8.82%
25,USFD,07/14/20,19.68,20.11,19.3,19.72,3440024,-0.11,-0.55%
26,USFD,07/13/20,20.2,20.43,19.52,19.83,2650410,-0.2,-1.00%
27,USFD,07/10/20,18.8,20.16,18.44,20.03,3223800,1.09,5.76%
28,USFD,07/09/20,19.9,19.92,18.62,18.94,3548976,-1.03,-5.16%
29,USFD,07/08/20,19.64,20.21,19.46,19.97,3414061,0.28,1.42%
30,USFD,07/07/20,19.59,19.91,19.21,19.69,4370591,-0.37,-1.84%
31,USFD,07/06/20,20.19,20.27,19.63,20.06,4081609,0.36,1.83%
32,USFD,07/02/20,20.43,20.72,19.64,19.7,3653000,-0.34,-1.70%
33,USFD,07/01/20,19.72,20.33,19.7,20.04,5587874,0.32,1.62%
34,USFD,06/30/20,19.71,20.22,19.43,19.72,2497276,-0.26,-1.30%
35,USFD,06/29/20,19.37,20.14,18.92,19.98,2819304,0.88,4.61%
36,USFD,06/26/20,19.66,19.72,18.72,19.1,5052000,-0.75,-3.78%
37,USFD,06/25/20,19.22,20.33,19.12,19.85,2619144,-0.01,-0.05%
38,USFD,06/24/20,19.91,20.12,18.63,19.86,5136157,-0.84,-4.06%
39,USFD,06/23/20,19.63,20.75,19.61,20.7,8039908,1.6,8.38%
40,USFD,06/22/20,19.08,19.41,18.57,19.1,4421326,-0.1,-0.52%
41,USFD,06/19/20,20.27,20.34,19.17,19.2,3834900,-0.79,-3.95%
42,USFD,06/18/20,19.58,20.15,19.33,19.99,2146308,0.08,0.40%
43,USFD,06/17/20,20.7,20.75,19.82,19.91,2339828,-0.89,-4.28%
44,USFD,06/16/20,21.5,21.5,20.33,20.8,3711249,0.48,2.36%
45,USFD,06/15/20,19.2,20.56,18.85,20.32,4106275,0.11,0.54%
46,USFD,06/12/20,21.33,21.45,19.4,20.21,4757200,0.05,0.25%
47,USFD,06/11/20,19.12,21.06,18.89,20.16,7439670,-0.85,-4.05%
48,USFD,06/10/20,22.91,22.98,20.98,21.01,5321063,-1.95,-8.49%
49,USFD,06/09/20,24.27,24.49,22.83,22.96,5099936,-2.33,-9.21%
50,USFD,06/08/20,26.51,26.62,24.89,25.29,9508782,1.89,8.08%
51,USFD,06/05/20,24.73,24.87,22.61,23.4,8839800,2.29,10.85%
52,USFD,06/04/20,21.21,21.33,20.68,21.11,4099234,-0.22,-1.03%
53,USFD,06/03/20,20.35,21.42,20.18,21.33,4730607,1.49,7.51%
54,USFD,06/02/20,20.0,20.23,19.52,19.84,5069335,-0.07,-0.35%
55,USFD,06/01/20,19.22,20.0,18.83,19.91,4592782,0.77,4.02%
56,USFD,05/29/20,19.01,19.37,18.65,19.14,4542400,-0.26,-1.34%
57,USFD,05/28/20,20.98,21.0,19.31,19.4,5306223,-1.59,-7.58%
58,USFD,05/27/20,20.04,21.13,19.77,20.99,5720732,1.66,8.59%
59,USFD,05/26/20,18.68,19.75,18.33,19.33,8615468,1.52,8.53%
60,USFD,05/22/20,18.84,18.92,17.51,17.81,6456800,-0.74,-3.99%
61,USFD,05/21/20,18.7,19.1,18.4,18.55,2186516,-0.24,-1.28%
62,USFD,05/20/20,18.58,18.99,18.41,18.79,2515038,0.44,2.40%
