,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,VJET,08/18/20,5.37,5.48,5.2,5.29,26807,-0.22,-4.01%
1,VJET,08/17/20,5.5,5.68,5.5,5.511,39322,-0.24,-4.16%
2,VJET,08/14/20,5.47,6.15,5.47,5.75,47100,4.45,342.31%
3,VJET,08/13/20,1.2,1.34,1.2,1.3,167842,0.09,7.44%
4,VJET,08/12/20,1.19,1.24,1.17,1.21,82096,0.05,4.09%
5,VJET,08/11/20,1.29,1.34,1.16,1.163,137716,-0.15,-11.60%
6,VJET,08/10/20,1.31,1.36,1.3,1.315,37400,-0.04,-2.59%
7,VJET,08/07/20,1.32,1.35,1.31,1.35,35600,0.02,1.50%
8,VJET,08/06/20,1.36,1.36,1.33,1.33,35117,-0.02,-1.48%
9,VJET,08/05/20,1.35,1.37,1.33,1.35,76558,0.01,0.75%
10,VJET,08/04/20,1.38,1.44,1.33,1.34,86100,-0.12,-8.22%
11,VJET,08/03/20,1.39,1.46,1.36,1.46,88775,0.02,1.39%
12,VJET,07/31/20,1.44,1.48,1.39,1.44,66700,-0.04,-2.70%
13,VJET,07/30/20,1.5,1.53,1.46,1.48,33739,-0.07,-4.52%
14,VJET,07/29/20,1.6,1.661,1.55,1.55,32319,-0.07,-4.32%
15,VJET,07/28/20,1.6,1.66,1.5619999999999998,1.62,31914,-0.02,-1.22%
16,VJET,07/27/20,1.6,1.65,1.55,1.64,46993,0.1,6.15%
17,VJET,07/24/20,1.65,1.65,1.5,1.545,106900,-0.1,-6.36%
18,VJET,07/23/20,1.66,1.66,1.58,1.65,22040,0.02,1.23%
19,VJET,07/22/20,1.69,1.69,1.568,1.63,34525,0.02,1.24%
20,VJET,07/21/20,1.66,1.68,1.6,1.61,38360,-0.11,-6.40%
21,VJET,07/20/20,1.69,1.74,1.65,1.72,79484,0.04,2.38%
22,VJET,07/17/20,1.68,1.745,1.63,1.68,107800,0.05,3.07%
23,VJET,07/16/20,1.51,1.7,1.49,1.63,130926,0.11,7.24%
24,VJET,07/15/20,1.4,1.62,1.4,1.52,69284,0.13,9.35%
25,VJET,07/14/20,1.29,1.4,1.29,1.39,43097,0.05,3.74%
26,VJET,07/13/20,1.38,1.4369999999999998,1.32,1.34,74703,-0.06,-4.29%
27,VJET,07/10/20,1.36,1.445,1.3419999999999999,1.4,63500,0.09,6.87%
28,VJET,07/09/20,1.31,1.37,1.295,1.31,79155,-0.02,-1.50%
29,VJET,07/08/20,1.4,1.42,1.31,1.33,56097,-0.01,-0.75%
30,VJET,07/07/20,1.44,1.469,1.3,1.34,123390,-0.14,-9.46%
31,VJET,07/06/20,1.43,1.49,1.43,1.48,64534,0.03,2.07%
32,VJET,07/02/20,1.43,1.49,1.43,1.45,22300,0.03,2.11%
33,VJET,07/01/20,1.58,1.58,1.42,1.42,67299,-0.14,-8.97%
34,VJET,06/30/20,1.44,1.56,1.4,1.56,63743,0.09,6.12%
35,VJET,06/29/20,1.46,1.6,1.46,1.47,60762,-0.03,-2.00%
36,VJET,06/26/20,1.46,1.5,1.46,1.5,39400,-0.01,-0.66%
37,VJET,06/25/20,1.45,1.53,1.436,1.51,38482,0.02,1.34%
38,VJET,06/24/20,1.49,1.57,1.47,1.49,63722,-0.03,-1.97%
39,VJET,06/23/20,1.65,1.6880000000000002,1.5,1.52,82777,-0.15,-8.98%
40,VJET,06/22/20,1.66,1.68,1.63,1.67,65728,-0.01,-0.60%
41,VJET,06/19/20,1.69,1.69,1.62,1.68,77500,0.01,0.60%
42,VJET,06/18/20,1.68,1.68,1.6,1.67,127559,-0.02,-1.18%
43,VJET,06/17/20,1.71,1.75,1.66,1.69,125179,0.0,0.00%
44,VJET,06/16/20,1.78,1.85,1.65,1.69,182520,0.06,3.68%
45,VJET,06/15/20,1.49,1.7,1.42,1.63,97759,0.16,10.88%
46,VJET,06/12/20,1.5,1.57,1.42,1.47,92700,-0.02,-1.34%
47,VJET,06/11/20,1.55,1.6380000000000001,1.45,1.49,238518,-0.22,-12.87%
48,VJET,06/10/20,1.81,1.81,1.6,1.71,213850,0.03,1.79%
49,VJET,06/09/20,1.77,1.7990000000000002,1.5919999999999999,1.68,181777,-0.07,-4.00%
50,VJET,06/08/20,1.7,1.79,1.55,1.75,350605,0.2,12.90%
51,VJET,06/05/20,1.4,1.68,1.35,1.55,616100,0.17,12.32%
52,VJET,06/04/20,1.34,1.44,1.26,1.38,382057,0.1,7.81%
53,VJET,06/03/20,1.4,1.4,1.22,1.28,211039,-0.07,-5.19%
54,VJET,06/02/20,1.4,1.46,1.26,1.35,494618,-0.02,-1.46%
55,VJET,06/01/20,1.17,1.45,1.14,1.37,679638,0.25,22.32%
56,VJET,05/29/20,1.11,1.15,1.1,1.12,46600,0.0,0.00%
57,VJET,05/28/20,1.14,1.18,1.1159999999999999,1.12,107376,-0.05,-4.27%
58,VJET,05/27/20,1.15,1.19,1.1,1.17,199608,0.03,2.63%
59,VJET,05/26/20,1.1,1.19,1.09,1.14,223579,0.05,4.59%
60,VJET,05/22/20,1.08,1.15,1.05,1.09,109900,-0.05,-4.39%
61,VJET,05/21/20,1.17,1.18,1.05,1.14,207468,-0.05,-4.20%
62,VJET,05/20/20,1.1,1.324,1.05,1.19,1327423,0.1,9.17%
63,VJET,05/19/20,0.88,1.5,0.8502,1.09,3273979,0.2,21.79%
64,VJET,05/18/20,0.96,0.96,0.8503,0.895,81009,-0.0,-0.44%
65,VJET,05/15/20,0.8282,0.899,0.7702,0.899,95900,0.1,12.37%
66,VJET,05/14/20,0.83,0.8709,0.77,0.8,116217,-0.04,-4.69%
67,VJET,05/13/20,0.9,0.9,0.8003,0.8394,87518,-0.03,-3.63%
68,VJET,05/12/20,0.88,0.93,0.868,0.871,72265,-0.0,-0.46%
69,VJET,05/11/20,0.86,0.8901,0.8498,0.875,68325,-0.03,-2.78%
70,VJET,05/08/20,0.97,0.97,0.872,0.9,73000,-0.0,-0.22%
71,VJET,05/07/20,0.98,1.0,0.88,0.902,40235,-0.08,-7.96%
72,VJET,05/06/20,1.0,1.05,0.9179,0.98,19205,0.0,0.00%
73,VJET,05/05/20,0.96,0.98,0.9,0.98,29499,0.06,6.71%
74,VJET,05/04/20,0.8108,0.9328,0.8038,0.9184,64378,0.05,5.32%
75,VJET,05/01/20,0.98,0.98,0.8513,0.872,122300,-0.1,-10.57%
76,VJET,04/30/20,1.05,1.05,0.9639,0.9751,141292,-0.04,-4.04%
77,VJET,04/29/20,1.02,1.02,0.986,1.016,45525,0.04,3.68%
78,VJET,04/28/20,1.02,1.06,0.95,0.98,134062,-0.09,-8.41%
