,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,WDR,08/18/20,15.54,15.74,15.48,15.67,560349,0.07,0.45%
1,WDR,08/17/20,15.52,15.68,15.41,15.6,431451,0.1,0.65%
2,WDR,08/14/20,15.28,15.66,15.28,15.5,483700,0.08,0.52%
3,WDR,08/13/20,15.49,15.68,15.34,15.42,511891,-0.23,-1.47%
4,WDR,08/12/20,15.81,16.05,15.48,15.65,669990,0.05,0.32%
5,WDR,08/11/20,15.8,16.04,15.54,15.6,780665,0.02,0.13%
6,WDR,08/10/20,15.46,15.71,15.37,15.58,855800,0.24,1.56%
7,WDR,08/07/20,14.79,15.35,14.79,15.34,556400,0.47,3.16%
8,WDR,08/06/20,14.97,14.98,14.69,14.87,711841,-0.16,-1.06%
9,WDR,08/05/20,14.58,15.05,14.49,15.03,769501,0.6,4.16%
10,WDR,08/04/20,14.39,14.53,14.27,14.43,879005,-0.02,-0.14%
11,WDR,08/03/20,14.54,14.64,14.41,14.45,870108,-0.14,-0.96%
12,WDR,07/31/20,14.53,14.68,14.44,14.59,1009600,0.04,0.27%
13,WDR,07/30/20,14.64,14.66,14.36,14.55,684485,-0.3,-2.02%
14,WDR,07/29/20,14.75,15.29,14.53,14.85,1150952,0.19,1.30%
15,WDR,07/28/20,14.85,15.13,14.22,14.66,1687211,-0.57,-3.74%
16,WDR,07/27/20,14.76,15.32,14.72,15.23,923712,0.34,2.28%
17,WDR,07/24/20,15.22,15.4,14.84,14.89,635900,-0.34,-2.23%
18,WDR,07/23/20,14.73,15.3,14.73,15.23,999076,0.27,1.80%
19,WDR,07/22/20,15.33,15.42,14.91,14.96,603774,-0.5,-3.23%
20,WDR,07/21/20,15.05,15.54,15.02,15.46,909264,0.5,3.34%
21,WDR,07/20/20,15.1,15.17,14.94,14.96,617481,-0.32,-2.09%
22,WDR,07/17/20,15.59,15.66,15.26,15.28,599300,-0.3,-1.93%
23,WDR,07/16/20,15.41,15.71,15.37,15.58,498172,0.01,0.06%
24,WDR,07/15/20,15.26,15.7,15.07,15.57,1052254,0.58,3.87%
25,WDR,07/14/20,15.1,15.26,14.89,14.99,1016939,-0.03,-0.20%
26,WDR,07/13/20,15.6,15.61,14.44,15.02,1345526,-0.39,-2.53%
27,WDR,07/10/20,14.87,15.45,14.87,15.41,835300,0.37,2.46%
