,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,WHLM,08/18/20,3.6,3.77,3.54,3.57,40425,-0.12,-3.25%
1,WHLM,08/17/20,3.53,3.8169999999999997,3.52,3.69,26018,0.17,4.83%
2,WHLM,08/14/20,3.79,3.865,3.52,3.52,44600,-0.26,-6.88%
3,WHLM,08/13/20,3.78,4.0,3.72,3.78,16661,-0.22,-5.50%
4,WHLM,08/12/20,3.91,4.1,3.784,4.0,24445,-0.02,-0.50%
5,WHLM,08/11/20,4.01,4.08,3.91,4.02,30213,0.01,0.25%
6,WHLM,08/10/20,3.9,4.75,3.87,4.01,341042,0.0,0.00%
7,WHLM,08/07/20,3.92,4.08,3.92,4.01,53300,0.12,3.08%
8,WHLM,08/06/20,3.86,4.25,3.86,3.89,79179,-0.36,-8.47%
9,WHLM,08/05/20,3.83,5.9,3.65,4.25,593118,0.32,8.14%
10,WHLM,08/04/20,4.09,4.29,3.87,3.93,62740,-0.24,-5.76%
11,WHLM,08/03/20,4.01,4.61,3.76,4.17,135396,0.22,5.57%
12,WHLM,07/31/20,5.0,5.21,3.8,3.95,157400,-0.79,-16.67%
13,WHLM,07/30/20,4.73,6.8,4.51,4.74,615010,0.22,4.87%
14,WHLM,07/29/20,5.05,5.21,4.5,4.52,314181,-1.18,-20.70%
15,WHLM,07/28/20,6.16,7.2,5.45,5.7,1219303,-2.1,-26.92%
16,WHLM,07/27/20,8.05,12.92,6.82,7.8,51743846,4.06,108.84%
17,WHLM,07/24/20,4.25,7.33,3.54,3.735,951700,0.19,5.51%
18,WHLM,07/23/20,3.7,3.7,3.54,3.54,1857,-0.01,-0.28%
19,WHLM,07/22/20,3.55,3.55,3.55,3.55,238,0.04,1.14%
20,WHLM,07/21/20,3.55,3.55,3.51,3.51,1198,-0.01,-0.28%
21,WHLM,07/20/20,3.6,3.6,3.5,3.52,1570,-0.02,-0.56%
22,WHLM,07/17/20,3.54,3.54,3.54,3.54,600,-0.11,-3.01%
23,WHLM,07/16/20,4.16,4.79,3.5,3.65,8075,-0.2,-5.19%
24,WHLM,07/15/20,3.85,3.85,3.85,3.85,1471,0.15,4.05%
