,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,WLL,08/18/20,0.91,0.92,0.8689,0.9041,4686511,-0.01,-1.27%
1,WLL,08/17/20,0.9,0.958,0.86,0.9157,4822713,-0.01,-1.58%
2,WLL,08/14/20,0.9452,0.9579,0.91,0.9304,3654800,-0.03,-3.08%
3,WLL,08/13/20,0.97,0.98,0.92,0.96,3587674,-0.02,-2.16%
4,WLL,08/12/20,0.98,1.02,0.9551,0.9812,4775896,0.04,4.37%
5,WLL,08/11/20,1.05,1.05,0.9323,0.9401,8082999,-0.04,-3.86%
6,WLL,08/10/20,0.9,1.01,0.8601,0.9778,8639500,0.08,8.33%
7,WLL,08/07/20,0.94,0.9401,0.82,0.9026,8769700,-0.03,-2.95%
8,WLL,08/06/20,1.09,1.09,0.9,0.93,10228327,-0.18,-16.22%
9,WLL,08/05/20,1.33,1.48,1.04,1.11,38533712,0.03,2.78%
10,WLL,08/04/20,0.77,1.12,0.77,1.08,29453285,0.31,40.26%
11,WLL,08/03/20,0.79,0.79,0.75,0.77,3936991,-0.01,-1.28%
12,WLL,07/31/20,0.8106,0.8195,0.76,0.78,3123200,-0.03,-3.82%
13,WLL,07/30/20,0.8,0.8259,0.75,0.811,6132316,-0.03,-3.60%
14,WLL,07/29/20,0.92,0.9719,0.8201,0.8413,9433545,-0.07,-8.05%
15,WLL,07/28/20,0.9571,0.9571,0.9,0.915,3252562,-0.02,-2.34%
16,WLL,07/27/20,1.01,1.02,0.9201,0.9369,7426898,-0.08,-8.15%
17,WLL,07/24/20,1.02,1.03,1.0,1.02,3738700,-0.02,-1.92%
18,WLL,07/23/20,1.04,1.06,1.01,1.04,5180412,-0.03,-2.80%
19,WLL,07/22/20,1.05,1.07,1.02,1.07,3705949,0.01,0.94%
20,WLL,07/21/20,1.04,1.08,1.02,1.06,5862174,0.05,4.95%
21,WLL,07/20/20,1.01,1.05,1.0,1.01,4375999,0.0,0.00%
22,WLL,07/17/20,1.09,1.11,1.0,1.01,5220400,-0.07,-6.48%
23,WLL,07/16/20,1.1,1.13,1.03,1.08,4125046,-0.01,-0.92%
24,WLL,07/15/20,1.15,1.15,1.06,1.09,6298143,0.08,7.92%
25,WLL,07/14/20,1.01,1.04,1.0,1.01,3196150,0.0,0.00%
26,WLL,07/13/20,1.05,1.08,1.0,1.01,5060659,-0.05,-4.72%
27,WLL,07/10/20,1.0,1.07,1.0,1.06,5577000,0.02,1.92%
28,WLL,07/09/20,1.06,1.06,1.01,1.04,3985510,-0.04,-3.70%
29,WLL,07/08/20,1.12,1.12,1.0,1.08,6419034,-0.05,-4.42%
30,WLL,07/07/20,1.1,1.17,1.02,1.13,6011448,0.03,2.73%
31,WLL,07/06/20,1.18,1.19,1.09,1.1,4839569,-0.05,-4.35%
32,WLL,07/02/20,1.26,1.26,1.09,1.15,5553600,-0.03,-2.54%
33,WLL,07/01/20,1.19,1.29,1.15,1.18,7940614,0.05,4.42%
34,WLL,06/30/20,1.18,1.19,1.09,1.13,5508000,-0.07,-5.83%
35,WLL,06/29/20,1.22,1.28,1.16,1.2,6115239,-0.06,-4.76%
36,WLL,06/26/20,1.22,1.38,1.21,1.26,7504100,0.0,0.00%
37,WLL,06/25/20,1.13,1.3,1.03,1.26,11324401,0.1,8.62%
38,WLL,06/24/20,1.25,1.29,1.11,1.16,10086747,-0.16,-12.12%
39,WLL,06/23/20,1.4,1.45,1.3,1.32,7852989,-0.04,-2.94%
40,WLL,06/22/20,1.5,1.53,1.35,1.36,10158215,-0.17,-11.11%
41,WLL,06/19/20,1.68,1.69,1.5,1.53,12045600,-0.06,-3.77%
42,WLL,06/18/20,1.63,1.67,1.59,1.59,6850975,-0.02,-1.24%
43,WLL,06/17/20,1.75,1.78,1.6,1.61,7855001,-0.17,-9.55%
44,WLL,06/16/20,1.96,1.97,1.75,1.78,13707816,0.08,4.71%
45,WLL,06/15/20,1.55,1.83,1.53,1.7,12289084,-0.07,-3.95%
46,WLL,06/12/20,2.02,2.02,1.65,1.77,24888600,0.18,11.32%
47,WLL,06/11/20,1.34,1.92,1.22,1.59,36605319,0.02,1.27%
48,WLL,06/10/20,1.93,2.02,1.5,1.57,44977459,-0.78,-33.19%
49,WLL,06/09/20,2.82,2.99,2.0,2.35,72717182,-1.13,-32.47%
50,WLL,06/08/20,1.91,3.59,1.88,3.48,103844131,2.1,152.17%
51,WLL,06/05/20,1.04,1.41,0.92,1.38,47235600,0.53,62.35%
52,WLL,06/04/20,0.86,0.88,0.82,0.85,6355087,-0.01,-1.56%
53,WLL,06/03/20,0.8689,0.899,0.845,0.8635,5702218,0.02,2.80%
54,WLL,06/02/20,0.8441,0.91,0.8184,0.84,7442285,0.03,3.70%
