,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,7.15,7.25,6.99,7.0,7.0,24800
1,2015-08-21,6.93,7.0,6.86,6.9,6.9,9500
2,2015-08-24,6.85,6.85,4.5,6.21,6.21,102100
3,2015-08-25,6.57,6.92,6.0,6.22,6.22,201500
4,2015-08-26,6.45,6.61,6.2,6.25,6.25,10700
5,2015-08-27,6.3,6.92,6.3,6.89,6.89,12600
6,2015-08-28,6.42,6.81,6.42,6.62,6.62,4500
7,2015-08-31,6.29,6.95,6.29,6.91,6.91,7200
8,2015-09-01,6.77,6.89,6.51,6.75,6.75,18400
9,2015-09-02,6.71,6.86,6.7,6.8,6.8,2200
10,2015-09-03,6.75,6.83,6.53,6.63,6.63,6000
11,2015-09-04,6.56,6.84,6.5,6.66,6.66,18000
12,2015-09-08,6.86,6.99,6.51,6.77,6.77,9500
13,2015-09-09,6.69,7.25,6.68,6.94,6.94,13300
14,2015-09-10,6.93,7.1,6.6,6.63,6.63,10800
15,2015-09-11,6.77,7.0,6.6,6.94,6.94,7900
16,2015-09-14,7.0,7.0,6.6,6.96,6.96,6200
17,2015-09-15,6.86,6.99,6.69,6.99,6.99,2700
18,2015-09-16,6.98,6.98,6.6,6.76,6.76,9400
19,2015-09-17,6.79,6.79,6.62,6.79,6.79,1600
20,2015-09-18,6.79,6.8,6.62,6.62,6.62,14100
21,2015-09-21,6.7,6.79,6.6,6.6,6.6,11300
22,2015-09-22,6.65,6.71,6.65,6.71,6.71,1800
23,2015-09-23,6.75,6.95,6.7,6.7,6.7,5600
24,2015-09-24,6.67,6.76,6.67,6.7,6.7,1300
25,2015-09-25,6.8,6.91,6.63,6.91,6.91,4000
26,2015-09-28,6.82,6.86,6.59,6.63,6.63,2800
27,2015-09-29,6.64,6.74,6.6,6.6,6.6,1100
28,2015-09-30,6.68,6.75,6.6,6.67,6.67,2600
29,2015-10-01,6.75,6.75,6.75,6.75,6.75,900
30,2015-10-02,6.72,6.9,6.69,6.73,6.73,4000
31,2015-10-05,6.74,6.82,6.71,6.81,6.81,4800
32,2015-10-06,6.85,6.87,6.8,6.87,6.87,3700
33,2015-10-07,6.79,6.86,6.75,6.76,6.76,5000
34,2015-10-08,6.8,6.8,6.67,6.72,6.72,2000
35,2015-10-09,6.73,6.87,6.73,6.75,6.75,1900
36,2015-10-12,6.75,6.9,6.75,6.86,6.86,4400
37,2015-10-13,6.9,6.9,6.8,6.8,6.8,4700
38,2015-10-14,6.8,6.83,6.8,6.83,6.83,2400
39,2015-10-15,6.84,6.84,6.69,6.84,6.84,4000
40,2015-10-16,6.72,6.83,6.71,6.74,6.74,5800
41,2015-10-19,6.75,6.81,6.73,6.73,6.73,7100
42,2015-10-20,6.81,7.0,6.72,7.0,7.0,18000
43,2015-10-21,7.01,7.2,6.85,7.07,7.07,8300
44,2015-10-22,7.16,7.16,7.03,7.03,7.03,7600
45,2015-10-23,7.04,7.11,7.04,7.05,7.05,800
46,2015-10-26,7.15,7.22,7.15,7.22,7.22,7100
47,2015-10-27,7.21,7.25,7.1,7.17,7.17,3600
