,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ZGYHU,08/17/20,,10.01,10.01,10.01,0,0.03,0.30%
1,ZGYHU,08/14/20,9.98,9.98,9.98,9.98,200,-0.05,-0.50%
2,ZGYHU,08/13/20,9.98,10.03,9.98,10.03,301,0.0,0.00%
3,ZGYHU,08/10/20,,10.03,10.03,10.03,0,-0.02,-0.20%
4,ZGYHU,08/07/20,,10.05,10.05,10.05,2,0.0,0.00%
5,ZGYHU,08/05/20,,10.05,10.05,10.05,0,0.08,0.80%
6,ZGYHU,08/04/20,10.0,10.0,9.97,9.97,5704,-0.03,-0.30%
7,ZGYHU,08/03/20,10.0,10.0,10.0,10.0,3199,0.03,0.30%
8,ZGYHU,07/31/20,9.97,9.97,9.97,9.97,3100,0.0,0.00%
9,ZGYHU,07/30/20,10.0,10.01,9.97,9.97,7399,-0.08,-0.80%
10,ZGYHU,07/29/20,10.0,10.05,10.0,10.05,900,0.0,0.00%
11,ZGYHU,07/28/20,10.03,10.05,10.03,10.05,3878,0.0,0.00%
12,ZGYHU,07/27/20,10.05,10.05,10.05,10.05,2024,0.05,0.50%
13,ZGYHU,07/24/20,10.0,10.0,10.0,10.0,500,-0.03,-0.30%
14,ZGYHU,07/23/20,10.1,10.1,10.03,10.03,21027,-0.06,-0.59%
15,ZGYHU,07/22/20,10.09,10.09,10.09,10.09,231,0.0,0.00%
16,ZGYHU,07/21/20,10.09,10.09,10.09,10.09,240,0.05,0.50%
17,ZGYHU,07/20/20,10.05,10.05,10.02,10.04,2156,-0.01,-0.10%
18,ZGYHU,07/17/20,10.14,10.14,10.05,10.05,20600,0.0,0.00%
19,ZGYHU,07/16/20,10.05,10.05,10.05,10.05,2082,0.08,0.80%
20,ZGYHU,07/15/20,10.07,10.07,9.97,9.97,7318,-0.1,-0.99%
21,ZGYHU,07/14/20,10.05,10.08,10.05,10.07,7377,-0.02,-0.20%
22,ZGYHU,07/13/20,10.03,10.11,10.03,10.09,11202,0.04,0.40%
23,ZGYHU,07/10/20,10.04,10.05,10.01,10.05,16300,0.07,0.70%
24,ZGYHU,07/08/20,,9.98,9.98,9.98,0,-0.05,-0.50%
