,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,1.54,1.54,1.51,1.51,1.51,24500
1,2015-08-20,1.53,1.53,1.5,1.52,1.52,20400
2,2015-08-21,1.53,1.54,1.35,1.42,1.42,203500
3,2015-08-24,1.35,1.48,1.35,1.42,1.42,75700
4,2015-08-25,1.4,1.49,1.4,1.4,1.4,96600
5,2015-08-26,1.42,1.43,1.4,1.41,1.41,36500
6,2015-08-27,1.46,1.47,1.43,1.43,1.43,100100
7,2015-08-28,1.46,1.55,1.43,1.47,1.47,92700
8,2015-08-31,1.49,1.51,1.45,1.49,1.49,30800
9,2015-09-01,1.49,1.49,1.45,1.47,1.47,43900
10,2015-09-02,1.46,1.48,1.44,1.45,1.45,54700
11,2015-09-03,1.45,1.49,1.43,1.44,1.44,71500
12,2015-09-04,1.4,1.47,1.39,1.44,1.44,56300
13,2015-09-08,1.44,1.46,1.44,1.44,1.44,31600
14,2015-09-09,1.44,1.44,1.33,1.37,1.37,101300
15,2015-09-10,1.34,1.42,1.33,1.39,1.39,50600
16,2015-09-11,1.42,1.42,1.36,1.37,1.37,32600
17,2015-09-14,1.38,1.4,1.35,1.36,1.36,34900
18,2015-09-15,1.38,1.42,1.33,1.42,1.42,77900
19,2015-09-16,1.41,1.44,1.41,1.41,1.41,12700
20,2015-09-17,1.41,1.46,1.41,1.42,1.42,21500
21,2015-09-18,1.49,1.49,1.42,1.46,1.46,43900
22,2015-09-21,1.44,1.46,1.41,1.45,1.45,22900
23,2015-09-22,1.46,1.54,1.45,1.48,1.48,47700
24,2015-09-23,1.5,1.5,1.44,1.46,1.46,15000
25,2015-09-24,1.48,1.49,1.43,1.45,1.45,23100
26,2015-09-25,1.43,1.45,1.4,1.4,1.4,21100
27,2015-09-28,1.43,1.45,1.38,1.4,1.4,58000
28,2015-09-29,1.43,1.46,1.38,1.46,1.46,33200
29,2015-09-30,1.5,1.5,1.4,1.43,1.43,35800
30,2015-10-01,1.41,1.43,1.38,1.39,1.39,42500
31,2015-10-02,1.38,1.39,1.34,1.36,1.36,90100
32,2015-10-05,1.4,1.4,1.34,1.36,1.36,41000
33,2015-10-06,1.32,1.39,1.32,1.38,1.38,84400
34,2015-10-07,1.4,1.45,1.39,1.41,1.41,57300
35,2015-10-08,1.49,1.7,1.47,1.7,1.7,421700
36,2015-10-09,1.79,1.91,1.71,1.85,1.85,373700
37,2015-10-12,1.95,1.95,1.74,1.85,1.85,112600
38,2015-10-13,1.9,1.95,1.77,1.93,1.93,131200
39,2015-10-14,1.95,2.02,1.9,1.99,1.99,189100
40,2015-10-15,1.98,2.05,1.91,2.05,2.05,124900
41,2015-10-16,1.94,2.08,1.94,2.05,2.05,123600
42,2015-10-19,1.94,2.09,1.93,2.06,2.06,123200
43,2015-10-20,2.08,2.08,1.96,2.05,2.05,71400
44,2015-10-21,2.05,2.08,2.0,2.04,2.04,71000
45,2015-10-22,2.05,2.08,2.01,2.05,2.05,35000
46,2015-10-23,2.07,2.07,2.01,2.01,2.01,57900
47,2015-10-26,2.03,2.03,1.82,1.87,1.87,171500
48,2015-10-27,1.89,1.9,1.8,1.86,1.86,63200
49,2015-10-28,1.81,1.98,1.81,1.92,1.92,74800
50,2015-10-29,1.94,1.97,1.91,1.94,1.94,18900
51,2015-10-30,1.96,2.03,1.91,2.0,2.0,80600
52,2015-11-02,1.97,2.03,1.93,2.03,2.03,30500
53,2015-11-03,2.0,2.04,1.98,1.99,1.99,43900
54,2015-11-04,2.01,2.04,1.99,2.02,2.02,40200
55,2015-11-05,1.99,2.02,1.98,2.0,2.0,20400
56,2015-11-06,2.0,2.03,1.99,1.99,1.99,30200
57,2015-11-09,2.03,2.03,1.99,2.0,2.0,74000
58,2015-11-10,1.99,2.03,1.99,2.03,2.03,24900
59,2015-11-11,2.03,2.03,2.0,2.0,2.0,27800
60,2015-11-12,1.99,2.0,1.88,1.94,1.94,104700
61,2015-11-13,1.92,1.95,1.88,1.89,1.89,32000
62,2015-11-16,1.91,1.95,1.89,1.95,1.95,48700
63,2015-11-17,1.92,1.94,1.89,1.9,1.9,37100
64,2015-11-18,1.9,1.9,1.88,1.89,1.89,22900
65,2015-11-19,1.9,1.91,1.86,1.9,1.9,51400
66,2015-11-20,1.9,1.93,1.86,1.91,1.91,35300
67,2015-11-23,1.91,1.99,1.89,1.99,1.99,75700
68,2015-11-24,2.0,2.0,1.9,1.93,1.93,51800
69,2015-11-25,1.95,1.95,1.91,1.95,1.95,16800
70,2015-11-27,1.98,1.98,1.92,1.94,1.94,13700
71,2015-11-30,1.92,1.96,1.92,1.96,1.96,20700
72,2015-12-01,1.93,1.96,1.93,1.93,1.93,23300
73,2015-12-02,1.93,1.95,1.88,1.91,1.91,16500
74,2015-12-03,1.92,1.92,1.87,1.89,1.89,21800
75,2015-12-04,1.9,1.9,1.85,1.87,1.87,11000
76,2015-12-07,1.87,1.87,1.8,1.81,1.81,50800
77,2015-12-08,1.8,1.94,1.8,1.86,1.86,50200
78,2015-12-09,1.83,1.87,1.81,1.82,1.82,26900
79,2015-12-10,1.81,1.84,1.75,1.75,1.75,25200
80,2015-12-11,1.75,1.86,1.75,1.8,1.8,60100
81,2015-12-14,1.83,1.89,1.77,1.78,1.78,32900
82,2015-12-15,1.76,1.84,1.76,1.8,1.8,37900
83,2015-12-16,1.82,1.87,1.82,1.86,1.86,12700
84,2015-12-17,1.86,1.86,1.85,1.85,1.85,13900
85,2015-12-18,1.85,1.86,1.75,1.75,1.75,69800
86,2015-12-21,1.75,1.83,1.75,1.78,1.78,83400
87,2015-12-22,1.76,1.8,1.76,1.78,1.78,9300
88,2015-12-23,1.8,1.83,1.78,1.78,1.78,34100
89,2015-12-24,1.82,1.85,1.78,1.79,1.79,25500
90,2015-12-28,1.78,1.85,1.78,1.79,1.79,38800
91,2015-12-29,1.85,1.85,1.78,1.81,1.81,28000
92,2015-12-30,1.84,1.84,1.78,1.81,1.81,20400
93,2015-12-31,1.83,1.86,1.78,1.86,1.86,18800
94,2016-01-04,1.85,1.89,1.81,1.83,1.83,36200
95,2016-01-05,1.84,1.87,1.8,1.87,1.87,25200
96,2016-01-06,1.88,1.88,1.81,1.82,1.82,15300
97,2016-01-07,1.82,1.83,1.75,1.8,1.8,45200
98,2016-01-08,1.8,1.86,1.76,1.81,1.81,16200
99,2016-01-11,1.85,1.85,1.75,1.77,1.77,77100
