,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ZS,08/18/20,125.71,128.1,125.01,127.97,1829241,3.48,2.80%
1,ZS,08/17/20,124.64,125.93,122.15,124.49,1575283,1.6,1.30%
2,ZS,08/14/20,124.2,126.21,120.83,122.89,3389300,0.82,0.67%
3,ZS,08/13/20,121.0,124.29,120.94,122.07,2024078,2.73,2.29%
4,ZS,08/12/20,118.96,122.12,117.5,119.34,1949897,1.83,1.56%
5,ZS,08/11/20,119.5,121.48,116.88,117.51,2546449,-4.88,-3.99%
6,ZS,08/10/20,125.85,126.5,118.66,122.39,3014259,-3.46,-2.75%
7,ZS,08/07/20,131.33,131.79,125.2,125.85,2426200,-6.43,-4.86%
8,ZS,08/06/20,135.85,135.85,130.71,132.28,1570136,-2.25,-1.67%
9,ZS,08/05/20,132.49,135.21,131.33,134.53,1286726,2.04,1.54%
10,ZS,08/04/20,132.48,132.98,130.32,132.49,1186706,-0.09,-0.07%
11,ZS,08/03/20,131.05,133.13,130.26,132.58,1767349,2.73,2.10%
12,ZS,07/31/20,131.01,131.35,126.9,129.85,1672500,0.56,0.43%
13,ZS,07/30/20,127.36,129.94,126.18,129.29,1300462,2.32,1.83%
14,ZS,07/29/20,126.26,131.31,126.0,126.97,2966445,2.59,2.08%
15,ZS,07/28/20,124.59,126.49,121.45,124.38,3422997,-0.49,-0.39%
16,ZS,07/27/20,123.68,125.58,122.31,124.87,4152021,3.15,2.59%
17,ZS,07/24/20,121.24,124.82,118.53,121.72,1567600,-1.74,-1.41%
18,ZS,07/23/20,125.26,129.3,121.83,123.46,2186764,-1.65,-1.32%
19,ZS,07/22/20,126.59,128.35,123.71,125.11,1185986,-0.36,-0.29%
20,ZS,07/21/20,127.45,127.61,124.79,125.47,1555412,-2.13,-1.67%
21,ZS,07/20/20,121.2,128.13,121.2,127.6,2053000,7.29,6.06%
22,ZS,07/17/20,118.25,120.99,115.67,120.31,1861100,3.16,2.70%
23,ZS,07/16/20,118.75,119.5,113.81,117.15,2316309,-2.69,-2.24%
24,ZS,07/15/20,122.5,123.77,119.23,119.84,2387455,-2.59,-2.12%
25,ZS,07/14/20,119.0,123.25,115.68,122.43,3197652,2.52,2.10%
26,ZS,07/13/20,126.11,129.0,118.58,119.91,3934878,-5.58,-4.45%
27,ZS,07/10/20,126.51,127.0,123.14,125.49,2756900,-1.92,-1.51%
28,ZS,07/09/20,122.1,128.75,122.1,127.41,5370289,6.41,5.30%
29,ZS,07/08/20,115.68,121.01,115.41,121.0,3063206,7.16,6.29%
30,ZS,07/07/20,115.98,116.55,112.58,113.84,2241070,-0.94,-0.82%
31,ZS,07/06/20,113.02,121.46,112.5,114.78,5128919,4.57,4.15%
32,ZS,07/02/20,112.26,112.9,109.69,110.21,1897300,-1.3,-1.17%
33,ZS,07/01/20,109.3,111.79,107.02,111.51,2552229,2.01,1.84%
34,ZS,06/30/20,106.24,110.0,105.53,109.5,2958403,4.11,3.90%
35,ZS,06/29/20,106.86,107.0,103.05,105.39,2430348,-0.61,-0.58%
36,ZS,06/26/20,112.6,113.56,105.61,106.0,4791300,-5.61,-5.03%
37,ZS,06/25/20,109.89,112.45,108.25,111.61,2660737,3.35,3.09%
38,ZS,06/24/20,111.0,113.7,107.23,108.26,3018612,-2.05,-1.86%
39,ZS,06/23/20,109.6,112.0,107.71,110.31,4584660,0.64,0.58%
40,ZS,06/22/20,110.29,113.25,109.35,109.67,3733012,1.1,1.01%
41,ZS,06/19/20,114.8,114.8,108.2,108.57,3898000,-4.48,-3.96%
42,ZS,06/18/20,108.91,115.17,108.49,113.05,5455144,6.87,6.47%
43,ZS,06/17/20,103.18,108.37,103.01,106.18,2505350,3.37,3.28%
44,ZS,06/16/20,99.86,103.83,98.55,102.81,3336434,-1.71,-1.64%
45,ZS,06/15/20,101.95,105.3,101.15,104.52,2664974,2.05,2.00%
46,ZS,06/12/20,104.81,106.47,100.53,102.47,2010500,-0.21,-0.20%
47,ZS,06/11/20,104.48,108.97,102.3,102.68,2661964,-3.04,-2.88%
48,ZS,06/10/20,105.09,106.47,103.4,105.72,2307694,2.13,2.06%
49,ZS,06/09/20,103.22,105.95,102.11,103.59,2522520,0.85,0.83%
50,ZS,06/08/20,99.24,102.88,96.81,102.74,4851627,3.43,3.45%
51,ZS,06/05/20,100.38,101.05,96.59,99.31,4659100,-3.74,-3.63%
52,ZS,06/04/20,106.51,107.2,101.66,103.05,3989152,-4.36,-4.06%
53,ZS,06/03/20,105.54,108.88,104.24,107.41,3606822,1.24,1.17%
54,ZS,06/02/20,108.05,111.83,102.25,106.17,10190933,-3.81,-3.46%
55,ZS,06/01/20,96.8,112.73,96.5,109.98,17076820,11.89,12.12%
56,ZS,05/29/20,87.08,98.38,85.5,98.09,22809100,22.29,29.41%
57,ZS,05/28/20,74.7,77.05,73.79,75.8,4339787,1.27,1.70%
58,ZS,05/27/20,76.86,76.91,69.83,74.53,3719917,-1.99,-2.60%
59,ZS,05/26/20,79.0,80.0,76.3,76.52,2485261,-0.42,-0.55%
60,ZS,05/22/20,76.67,77.14,75.1,76.94,1331000,1.22,1.61%
61,ZS,05/21/20,77.63,77.65,74.16,75.72,1638380,-1.34,-1.74%
62,ZS,05/20/20,76.83,77.78,75.96,77.06,1517674,1.82,2.42%
63,ZS,05/19/20,75.0,76.01,74.26,75.24,1643717,1.43,1.94%
64,ZS,05/18/20,77.87,77.87,73.5,73.81,2361777,-2.58,-3.38%
65,ZS,05/15/20,75.48,78.31,75.48,76.39,1855900,0.77,1.02%
66,ZS,05/14/20,73.72,75.89,73.21,75.62,2596283,0.46,0.61%
67,ZS,05/13/20,76.95,78.19,73.27,75.16,2088825,-1.29,-1.69%
68,ZS,05/12/20,77.5,78.76,75.72,76.45,2006801,-0.51,-0.66%
69,ZS,05/11/20,73.99,77.5,73.66,76.96,2409006,2.94,3.97%
70,ZS,05/08/20,75.15,75.55,73.0,74.02,2091400,-0.86,-1.15%
71,ZS,05/07/20,73.5,75.15,73.11,74.88,2773963,2.34,3.23%
72,ZS,05/06/20,71.84,73.1,70.3,72.54,3086461,1.31,1.84%
73,ZS,05/05/20,70.0,71.67,69.66,71.23,2500577,2.15,3.11%
74,ZS,05/04/20,66.61,69.1,66.0,69.08,2026367,2.23,3.34%
75,ZS,05/01/20,66.23,67.75,65.51,66.85,1794100,-0.23,-0.34%
76,ZS,04/30/20,66.97,69.0,66.27,67.08,1827262,0.45,0.68%
77,ZS,04/29/20,66.71,68.07,64.9,66.63,2566917,-0.09,-0.13%
78,ZS,04/28/20,71.0,71.2,66.26,66.72,3035362,-3.75,-5.32%
79,ZS,04/27/20,68.5,71.26,68.2,70.47,2615617,2.97,4.40%
80,ZS,04/24/20,66.6,68.1,66.06,67.5,2608200,1.26,1.90%
81,ZS,04/23/20,66.0,66.8,64.86,66.24,3401921,-0.67,-1.00%
82,ZS,04/22/20,67.1,68.36,66.39,66.91,1815357,1.73,2.65%
83,ZS,04/21/20,70.78,71.43,64.28,65.18,5615254,-5.33,-7.56%
84,ZS,04/20/20,68.34,70.83,67.11,70.51,3187676,2.51,3.69%
85,ZS,04/17/20,70.41,70.41,67.8,68.0,2563800,-2.37,-3.37%
86,ZS,04/16/20,70.7,73.6,69.96,70.37,3438906,0.41,0.59%
87,ZS,04/15/20,65.95,70.1,65.53,69.96,4387720,3.48,5.23%
88,ZS,04/14/20,63.35,66.58,63.25,66.48,3512356,4.31,6.93%
89,ZS,04/13/20,64.01,64.04,61.88,62.17,2649736,-0.42,-0.67%
90,ZS,04/09/20,64.18,66.42,62.02,62.59,4588700,-2.34,-3.60%
91,ZS,04/08/20,62.43,65.02,62.07,64.93,2621584,2.57,4.12%
92,ZS,04/07/20,62.84,63.65,61.6,62.36,2826430,-0.95,-1.50%
93,ZS,04/06/20,64.76,65.0,62.15,63.31,2974855,-0.09,-0.14%
94,ZS,04/03/20,61.0,63.89,60.6,63.4,4136200,2.22,3.63%
